연번,시군,읍면동,시설종류,시설용도(공공용 시설건물 주용도),민방위대피시설명칭,주소(도로명 주소),주소(지번 주소),대피가능면적(제곱미터),대피 가능인원(명)
309,구미시,해평면,공공용,주거시설,삼우궁전맨션 지하 1층,경상북도 구미시 해평면 강동로 1655 (삼우궁전맨션),경상북도 구미시 해평면 307번지,916,916
310,구미시,산동읍,공공용,학교시설,경운대학교 2호관 학생식당 지하 2층,경상북도 구미시 산동읍 강동로 730 (경운대학교),경상북도 구미시 산동읍 171번지 3호,2236,2236
311,구미시,장천면,공공용,주거시설,한울아파트 지하주차장 1층,경상북도 구미시 장천면 강동로 207-9 (창덕아파트),경상북도 구미시 장천면 915번지 1호,661,661
312,구미시,송정동,공공용,주거시설,우방2차아파트 지하주차장 1층,"경상북도 구미시 박정희로 511 (송정동, 우방타운)",경상북도 구미시 송정동 38번지 5호,1025,1025
313,구미시,송정동,공공용,주거시설,혜성아파트 지하주차장 1층,"경상북도 구미시 박정희로 525 (송정동, 혜성골드타운)",경상북도 구미시 송정동 38번지 4호,430,430
314,구미시,송정동,공공용,주거시설,혜성아파트 3동 지하 1층,"경상북도 구미시 박정희로 525, 3동 (송정동, 혜성골드타운)",경상북도 구미시 송정동 38번지 4호,496,496
315,구미시,송정동,공공용,주거시설,한솔아파트 지하주차장 1층,"경상북도 구미시 박정희로 545 (송정동, 한솔아파트)",경상북도 구미시 송정동 38번지,2975,2975
316,구미시,송정동,공공용,주거시설,동양한신아파트 지하주차장 1층,"경상북도 구미시 백산로 153 (송정동, 동양한신아파트)",경상북도 구미시 송정동 183번지,3636,3636
317,구미시,송정동,공공용,교통시설,송정지하도 지하 1층,"경상북도 구미시 백산로 지하 84 (송정동, 송정지하도)",경상북도 구미시 송정동 9번지 10호,321,321
318,구미시,송정동,공공용,주거시설,한가람빌리지 가동 지하 1층,"경상북도 구미시 백산로5길 6, 가동 (송정동, 한가람빌리지)",경상북도 구미시 송정동 45번지,350,350
319,구미시,송정동,공공용,상업시설,KT구미지사 지하주차장 1층,경상북도 구미시 송원서로 14 (송정동),경상북도 구미시 송정동 48번지,251,251
320,구미시,송정동,공공용,관공서,구미우체국 지하 1층,경상북도 구미시 송원서로 6 (송정동),경상북도 구미시 송정동 49번지,198,198
321,구미시,송정동,공공용,관공서,구미상공회의소 지하 1층,"경상북도 구미시 송정대로 120 (송정동, 구미상공회의소)",경상북도 구미시 송정동 454번지,859,859
322,구미시,송정동,공공용,관공서,구미시청 민방위대피소 지하1층,경상북도 구미시 송정대로 55 (송정동),경상북도 구미시 송정동 50번지,985,985
323,구미시,송정동,공공용,관공서,문화예술회관 지하1층,경상북도 구미시 송정대로 89 (송정동),경상북도 구미시 송정동 75번지,2508,2508
324,구미시,원평동,공공용,주거시설,삼우궁전맨션 지하주차장 1층,"경상북도 구미시 구미중앙로27길 24 (원평동, 삼우궁전맨션)",경상북도 구미시 원평동 1035번지 7호,165,165
325,구미시,원평동,공공용,금융시설,대원빌딩 지하주차장 1층,"경상북도 구미시 금오시장로1길 4 (원평동, 대원빌딩)",경상북도 구미시 원평동 1029번지 11호,155,155
326,구미시,원평동,공공용,주거시설,두산맨션 지하주차장 1층,"경상북도 구미시 산업로 320-12 (원평동, 두산맨션)",경상북도 구미시 원평동 1076번지 1호,331,331
327,구미시,원평동,공공용,교통시설,구미종합터미널 지하 1층,"경상북도 구미시 송원동로 72 (원평동, 종합버스터미널)",경상북도 구미시 원평동 1073번지 1호,661,661
328,구미시,원평동,공공용,상업시설,리마트구미점 지하주차장 1층,경상북도 구미시 구미중앙로11길 18 (원평동),경상북도 구미시 원평동 125번지 1호,1580,1580
329,구미시,지산동,공공용,관공서,구미보건소(지하 1층),"경상북도 구미시 선산대로 111 (지산동, 구미시의료센터)",경상북도 구미시 지산동 853번지 12호,1193,1193
330,구미시,지산동,공공용,금융시설,지산새마을금고 본점(지하 1층),경상북도 구미시 선산대로 163-1 (지산동),경상북도 구미시 지산동 104번지 1호,153,153
331,구미시,도량동,공공용,주거시설,구미도량 휴먼시아아파트(403동 지하주차장 1층),"경상북도 구미시 도봉로 62, 403동 (도량동)",경상북도 구미시 도량동 224번지,1420,1420
332,구미시,도량동,공공용,주거시설,뜨란채아파트(504동 지하주차장 1층),"경상북도 구미시 도봉로 67, 504동 (도량동, 구미도량뜨란채5단지)",경상북도 구미시 도량동 222번지,1420,1420
333,구미시,도량동,공공용,주거시설,두산맨션(지하주차장 1층),"경상북도 구미시 문장로 121-14 (도량동, 도량두산맨션)",경상북도 구미시 도량동 659번지,742,742
334,구미시,도량동,공공용,주거시설,파크맨션(P-3지하주차장) 1층,"경상북도 구미시 송동로 154 (도량동, 파크맨션)",경상북도 구미시 도량동 77번지,1880,1880
335,구미시,선주원남동,공공용,주거시설,현진에버빌 지하 3주차장 지하 1층,"경상북도 구미시 도봉로 10 (봉곡동, 현진에버빌)",경상북도 구미시 봉곡동 22번지,5422,5422
336,구미시,선주원남동,공공용,주거시설,봉곡뜨란채104동앞 지하주차장 1층,"경상북도 구미시 도봉로5길 13 (봉곡동, 구미봉곡뜨란채)",경상북도 구미시 봉곡동 5번지,1547,1547
337,구미시,송정동,공공용,주거시설,푸르지오캐슬A단지 104동 지하주차장 1~2층,"경상북도 구미시 박정희로 599-0 (송정동, 푸르지오캐슬A단지)",경상북도 구미시 송정동 3번지,10939,10939
338,구미시,선주원남동,공공용,주거시설,봉곡현대아파트 106동 앞 지하주차장 1층,경상북도 구미시 봉곡남로 148-0 (봉곡동),경상북도 구미시 봉곡동 391번지,684,684
339,구미시,선주원남동,공공용,교육연구시설,경상북도교육청 구미도서관 지하1층,경상북도 구미시 산책길 41-0 (원평동),경상북도 구미시 원평동 468번지 1호,661,661
340,구미시,선주원남동,공공용,운동시설,올림픽기념국민생활관 지하1층,경상북도 구미시 산책길 63-0 (원평동),경상북도 구미시 원평동 964번지 451호,2539,2539
341,구미시,선주원남동,공공용,주거시설,두산그린맨션 지하주차장 1층,"경상북도 구미시 선기로1길 21 (남통동, 그린두산맨션)",경상북도 구미시 남통동 20번지 1호,3411,3411
342,구미시,선주원남동,공공용,주거시설,금오청구타운 지하주자창 1~2층,경상북도 구미시 원남로 12-13 (남통동),경상북도 구미시 남통동 4번지 5호,10716,10716
343,구미시,선주원남동,공공용,주거시설,청산빌라 지하주차장 1층,경상북도 구미시 원남로 51 (원평동),경상북도 구미시 원평동 77번지 60호,668,668
344,구미시,선주원남동,공공용,주거시설,원평대동아파트 지하주차장 1층,"경상북도 구미시 원남로4길 5-0 (원평동, 대동타운)",경상북도 구미시 원평동 83번지 13호,2562,2562
345,구미시,선주원남동,공공용,주거시설,남통e편한세상 지하주차장(후문) 1~2층,"경상북도 구미시 선기로77(남통동, 남통e편한세상)",경상북도 구미시 남통동 415번지,34848,34848
346,구미시,형곡1동,공공용,관공서,형곡1동행정복지센터 지하 1층,경상북도 구미시 경은로 52 (형곡동),경상북도 구미시 형곡동 141번지 5호,139,139
347,구미시,형곡1동,공공용,주거시설,삼우형구타운 지하주차장 1층,경상북도 구미시 경은로 8-5 (형곡동),경상북도 구미시 형곡동 106번지 1호,1223,1223
348,구미시,형곡1동,공공용,관공서,시립중앙도서관 지하 1층,경상북도 구미시 경은로 85-0 (형곡동),경상북도 구미시 형곡동 142번지,1577,1577
349,구미시,형곡1동,공공용,주거시설,구미차병원(장례식장) 지하 1층,경상북도 구미시 신시로10길 12-0 (형곡동),경상북도 구미시 형곡동 855번지,4879,4879
350,구미시,형곡1동,공공용,주거시설,대동빌라트 지하주차장 1~2층,경상북도 구미시 신시로8길 7-6 (형곡동),경상북도 구미시 형곡동 855번지 1호,1851,1851
351,구미시,형곡1동,공공용,주거시설,전원리빙필 지하주차장 1층,경상북도 구미시 형곡동로 103-0 (형곡동),경상북도 구미시 형곡동 146번지 7호,1362,1362
352,구미시,형곡1동,공공용,주거시설,동부늘푸른아파트 지하주차장 1층,경상북도 구미시 형곡로 53 (형곡동),경상북도 구미시 형곡동 117번지 3호,529,529
353,구미시,형곡1동,공공용,주거시설,무궁화아파트 지하주차장 1층,경상북도 구미시 형곡로10길 39-16 (형곡동),경상북도 구미시 형곡동 126번지 7호,562,562
354,구미시,형곡1동,공공용,주거시설,신세계아파트 지하주차장 1층,경상북도 구미시 형곡중앙로 51-0 (형곡동),경상북도 구미시 형곡동 145번지 22호,1137,1137
355,구미시,형곡2동,공공용,주거시설,형곡4주공아파트 지하 1층,경상북도 구미시 신시로 37 (형곡동),경상북도 구미시 형곡동 169번지,235,235
356,구미시,형곡2동,공공용,주거시설,협진골든맨션 지하주차장 1층,"경상북도 구미시 신시로4길 9 (형곡동, 골든맨션)",경상북도 구미시 형곡동 174번지 6호,443,443
357,구미시,형곡2동,공공용,주거시설,이구로얄2차맨션 지하주차장 1층,"경상북도 구미시 형곡동로 81 (형곡동, 이구로얄2차아파트)",경상북도 구미시 형곡동 168번지 6호,1783,1783
358,구미시,형곡2동,공공용,주거시설,진주맨션2차 지하주차장 2층,"경상북도 구미시 형곡동로2길 5-7 (형곡동, 도시주택진주맨션2차)",경상북도 구미시 형곡동 345번지,3046,3046
359,구미시,형곡2동,공공용,주거시설,두산맨션 지하주차장 1층,경상북도 구미시 형곡동로4길 5-3 (형곡동),경상북도 구미시 형곡동 318번지 4호,664,664
360,구미시,형곡2동,공공용,주거시설,동산그린빌라 지하주차장 1층,"경상북도 구미시 형곡동로6길 16-9 (형곡동, 동산그린빌라)",경상북도 구미시 형곡동 336번지 6호,184,184
361,구미시,형곡2동,공공용,주거시설,대성맨션 지하 1층,"경상북도 구미시 형곡로19길 10 (형곡동, 대성맨션)",경상북도 구미시 형곡동 165번지,168,168
362,구미시,형곡2동,공공용,주거시설,"다원빌라(A,B,C동) 지하 1층",경상북도 구미시 형곡로19길 8-15 (형곡동),경상북도 구미시 형곡동 164번지 4호,400,400
363,구미시,형곡2동,공공용,주거시설,태성맨션 102동 지하 1층,"경상북도 구미시 형곡로27길 18 (형곡동, 태성맨션)",경상북도 구미시 형곡동 237번지,163,163
364,구미시,형곡2동,공공용,주거시설,"미성빌라 A,B동 지하 1층",경상북도 구미시 형곡로28길 5-17 (형곡동),경상북도 구미시 형곡동 304번지 9호,114,114
365,구미시,형곡2동,공공용,주거시설,정우공원맨션 14차 지하주차장 1층,경상북도 구미시 형곡로32길 17 (형곡동),경상북도 구미시 형곡동 331번지,286,286
366,구미시,형곡2동,공공용,주거시설,형곡삼우타운 지하주자창 1층,"경상북도 구미시 형곡로33길 46 (형곡동, 형곡삼우타운)",경상북도 구미시 형곡동 170번지 1호,3869,3869
367,구미시,형곡2동,공공용,주거시설,대원로얄타운 지하주차장 1층,"경상북도 구미시 형곡로39길 4 (형곡동, 대원로얄타운)",경상북도 구미시 형곡동 184번지,1597,1597
368,구미시,형곡2동,공공용,주거시설,삼우맨션(902동) 지하 1층,경상북도 구미시 형곡로41길 16-1 (형곡동),경상북도 구미시 형곡동 176번지,259,259
369,구미시,형곡2동,공공용,주거시설,무지개2차 지하 1층,"경상북도 구미시 형곡서로1길 17 (형곡동, 무지개2차APT)",경상북도 구미시 형곡동 308번지 1호,163,163
370,구미시,신평2동,공공용,주거시설,e편한세상구미파크밸리 전 동 지하주차장 1~2층,e편한세상구미파크밸리 전 동 지하주차장 1~2층,경상북도 구미시 공단동 601,19481,19481
371,구미시,신평2동,공공용,관공서,신평2동행정복지센터 지하1층,"경상북도 구미시 신비로7길 9 (신평동, 신평2동 주민센터)",경상북도 구미시 신평동 17번지 7호,245,245
372,구미시,비산동,공공용,주거시설,전원리빙필(비산) (지하1층주차장),"경상북도 구미시 비산로1길 4 (비산동, 비산전원리빙필)",경상북도 구미시 비산동 489번지 1호,719,719
373,구미시,비산동,공공용,주거시설,벽산아파트(지하1층 주차장),"경상북도 구미시 비산로5길 19 (비산동, 벽산아파트)",경상북도 구미시 비산동 368번지,2718,2718
374,구미시,비산동,공공용,주거시설,"강변보성타운(301,302,303동 지하1층주차장)","경상북도 구미시 산호대로 423 (비산동, 강변보성타운)",경상북도 구미시 비산동 28번지,3643,3643
375,구미시,비산동,공공용,관공서,비산동 행정복지센터(지하1층대피소),경상북도 구미시 비산로 4 비산동행정복지센터(공단동),경상북도 구미시 공단동 112번지 2호,122,122
376,구미시,비산동,공공용,상업시설,오성전자(지하1층 식당),"경상북도 구미시 산호대로 335-4 (공단동, (주)오성전자)",경상북도 구미시 공단동 181번지,826,826
377,구미시,비산동,공공용,상업시설,한국산업단지공단 대구경북지역본부(지하1층식당),경상북도 구미시 수출대로 127 (공단동),경상북도 구미시 공단동 164번지,972,972
378,구미시,비산동,공공용,관공서,구미세무서(지하1층),"경상북도 구미시 수출대로 179 (공단동, 구미세무서)",경상북도 구미시 공단동 174번지,370,370
379,구미시,비산동,공공용,상업시설,엘지유니참㈜ (4동 지하1층),경상북도 구미시 수출대로 97 (공단동),경상북도 구미시 공단동 155번지,595,595
380,구미시,비산동,공공용,주거시설,우림필유아파트(지하1층주차장),경상북도 구미시 수출대로3길 130 (공단동),경상북도 구미시 공단동 758번지,27666,27666
381,구미시,비산동,공공용,상업시설,㈜피앤큐텍 2공장(지하1층),경상북도 구미시 수출대로9길 16 (공단동),경상북도 구미시 공단동 171번지,132,132
382,구미시,공단동,공공용,주거시설,순천향대학교 구미병원 본관 지하1층,"경상북도 구미시 1공단로 179 (공단동, 구미순천향병원)",경상북도 구미시 공단동 250번지,1734,1734
383,구미시,공단동,공공용,교통시설,공단지하도 지하1층,경상북도 구미시 1공단로 196 (공단동),경상북도 구미시 공단동 264번지 19호,215,215
384,구미시,공단동,공공용,관공서,공단동행정복지센터 지하1층,경상북도 구미시 1공단로 198-8 공단동 행정복지센터(공단동),경상북도 구미시 공단동 265번지 27호,350,350
385,구미시,공단동,공공용,상업시설,한화시스템 본관동 지하1층,경상북도 구미시 1공단로 244 (공단동),경상북도 구미시 공단동 259번지,1381,1381
386,구미시,공단동,공공용,상업시설,블루큐브케미칼코리아유한회사(사무동) 지하1층,"경상북도 구미시 1공단로4길 96 (공단동, 블루큐브케미칼코리아(유)구미공장)",경상북도 구미시 공단동 288번지 11호,299,299
387,구미시,공단동,공공용,상업시설,삼성SDI 구미사업장(24동 물류동 지하 1층),"경상북도 구미시 구미대로 58 (공단동, 삼성SDI구미사업장)",경상북도 구미시 공단동 290번지,764,764
388,구미시,공단동,공공용,복지시설,근로자종합복지회관 지하1층,경상북도 구미시 산호대로 239 (공단동),경상북도 구미시 공단동 256번지 18호,571,571
389,구미시,공단동,공공용,상업시설,"엘지이노텍 구미4공장 지하1,2층 주차장","경상북도 구미시 산호대로 77 (공단동, LG전자구미3공장)",경상북도 구미시 공단동 299번지,4765,4765
390,구미시,공단동,공공용,상업시설,코오롱인더스트리 1식당 지하1층,"경상북도 구미시 수출대로 48 (공단동, 코오롱)",경상북도 구미시 공단동 212번지,1005,1005
391,구미시,광평동,공공용,관공서,광평동 행정복지센터(지하 1층),경상북도 구미시 광평길 55 (광평동),경상북도 구미시 광평동 532번지 7호,480,480
392,구미시,광평동,공공용,주거시설,광평푸르지오 1차아파트 지하주차장(지하1~2층),"경상북도 구미시 구미대로 186-20(광평동,구미광평푸르지오1차)",경상북도 구미시 광평동 792-15,19078,19078
393,구미시,광평동,공공용,관공서,시민운동장 지하주차장(지하 1층),"경상북도 구미시 박정희로 375-20,시민운동장(광평동)",경상북도 구미시 광평동 216,13797,13797
394,구미시,상모사곡동,공공용,주거시설,세양청마루아파트 지하주차장 1~4층,"경상북도 구미시 박정희로 90-14 (상모동, 세양청마루아파트)",경상북도 구미시 상모동 271번지,5171,5171
395,구미시,상모사곡동,공공용,주거시설,상모두산맨션아파트지하주차장1~2층,"경상북도 구미시 상모로 6 (상모동, 상모두산맨션)",경상북도 구미시 상모동 197번지 3호,744,744
396,구미시,상모사곡동,공공용,주거시설,보성황실1차아파트 지하주차장 1~4층,"경상북도 구미시 상사서로 128 (사곡동, 보성1차황실타운)",경상북도 구미시 사곡동 697번지 1호,5440,5440
397,구미시,상모사곡동,공공용,주거시설,우방신세계아파트2단지 지하주차장1~4층,"경상북도 구미시 상사서로 17 (상모동, 우방신세계타운2단지)",경상북도 구미시 상모동 76번지 1호,4684,4684
398,구미시,임오동,공공용,주거시설,대동2차행복타운 지하주차장 1층,"경상북도 구미시 금오대로10길 47 (오태동, 행복타운)",경상북도 구미시 오태동 776번지,364,364
399,구미시,임오동,공공용,주거시설,신한그린타운 지하주차장 1층,"경상북도 구미시 금오대로12길 43 (오태동, 오태신한그린타운2차)",경상북도 구미시 오태동 771번지,1487,1487
400,구미시,임오동,공공용,주거시설,대동타운3차 지하주차장 1층,"경상북도 구미시 금오대로14길 12 (오태동, 오태3차대동타운)",경상북도 구미시 오태동 744번지 1호,1752,1752
401,구미시,임오동,공공용,주거시설,대원가든타운2차 지하주차장 1층,"경상북도 구미시 금오대로14길 29 (오태동, 대원가든타운2차)",경상북도 구미시 오태동 758번지 1호,661,661
402,구미시,임오동,공공용,주거시설,대동타운1차 지하주차장 1층,"경상북도 구미시 금오대로20길 33 (오태동, 대동타운1차)",경상북도 구미시 오태동 761번지,264,264
403,구미시,임오동,공공용,주거시설,대원가든타운1차 지하주차장 1층,"경상북도 구미시 금오대로22길 29-26 (오태동, 대원가든타운1차)",경상북도 구미시 오태동 764번지,264,264
404,구미시,임오동,공공용,주거시설,오태늘푸른아파트 지하주차장 1층,"경상북도 구미시 금오대로5길 8-7 (오태동, 오태늘푸른아파트)",경상북도 구미시 오태동 738번지,926,926
405,구미시,임오동,공공용,주거시설,임은대동타운 지하주차장 1층,"경상북도 구미시 임은길 55-2 (임은동, 대동타운)",경상북도 구미시 임은동 371번지 2호,628,628
406,구미시,임오동,공공용,주거시설,구미임은삼도뷰엔빌아파트 지하주차장 1층~2층,"경상북도 구미시 왕산로28-12(임은동,구미임은삼도뷰엔빌W)",경상북도 구미시 임은동 822번지,36215,36215
407,구미시,임오동,공공용,주거시설,임은코오롱하늘채 지하주차장 1층~2층,"경상북도 구미시 왕산로28-13(임은동,임은코오롱하늘채)",경상북도 구미시 임은동 818번지,30741,30741
408,구미시,임오동,공공용,주거시설,임은태왕아너스파크 지하주차장 1층,"경상북도 구미시 왕산로70-9(임은동,임은태왕아너스파크)",경상북도 구미시 임은동 173번지,2383,2383
409,구미시,인동동,공공용,주거시설,화진금봉4차아파트 지하주차장 1층,"경상북도 구미시 검성로 103-40 (황상동, 금봉타운4차)",경상북도 구미시 황상동 149번지 6호,496,496
410,구미시,인동동,공공용,주거시설,화진금봉3차아파트 지하주차장 1층,"경상북도 구미시 검성로 103-48 (황상동, 금봉타운3차)",경상북도 구미시 황상동 149번지 3호,992,992
411,구미시,인동동,공공용,주거시설,화진금봉5차아파트 지하주차장 1층,"경상북도 구미시 검성로 103-53 (황상동, 금봉타운5차)",경상북도 구미시 황상동 118번지 5호,706,706
412,구미시,인동동,공공용,주거시설,서한이다음1차아파트 지하주차장 1층,"경상북도 구미시 여헌로 15 (인의동, 인동서한이다음)",경상북도 구미시 인의동 578번지,6060,6060
413,구미시,인동동,공공용,주거시설,인의대동다숲아파트 지하주차장 1~5층,"경상북도 구미시 인동17길 36 (인의동, 인의대동다숲아파트)",경상북도 구미시 인의동 651번지,4787,4787
414,구미시,인동동,공공용,주거시설,청구하이츠아파트 지하주차장 1~2층,"경상북도 구미시 인동19길 36-11 (인의동, 구미청구하이츠)",경상북도 구미시 인의동 652번지,7801,7801
415,구미시,인동동,공공용,주거시설,인의푸르지오아파트 지하주차장 1층,"경상북도 구미시 인동35길 33 (인의동, 구미인의푸르지오)",경상북도 구미시 인의동 986번지,2288,2288
416,구미시,진미동,공공용,주거시설,케이브머티리얼즈㈜ 기숙사 지하1층,"경상북도 구미시 3공단3로 242 (진평동, 케이브이머티리얼즈(주))",경상북도 구미시 진평동 644번지 1호,4628,4628
417,구미시,양포동,공공용,주거시설,부영2차아파트 지하주차장 1층,"경상북도 구미시 산호대로25길 39 (옥계동, 부영아파트)",경상북도 구미시 옥계동 617번지,3378,3378
418,구미시,양포동,공공용,주거시설,부영1차아파트 지하주차장 1층,"경상북도 구미시 산호대로25길 53 (옥계동, 부영아파트)",경상북도 구미시 옥계동 616번지 1호,3256,3256
419,구미시,양포동,공공용,주거시설,구미옥계 e편한세상 지하주차장 1층,"경상북도 구미시 산호대로39길 25 (옥계동, e-편한세상)",경상북도 구미시 옥계동 935번지,13200,13200
420,구미시,양포동,공공용,공장·창고시설,엘지이노텍(주)구미2공장 본관동(A동) 지하1층,"경상북도 구미시 옥계2공단로 221 (구포동, 엘지이노텍(주)구미2공장)",경상북도 구미시 구포동 624번지,1876,1876
421,구미시,양포동,공공용,주거시설,성원아파트 지하주차장 1층~3층,"경상북도 구미시 옥계2공단로 264-11 (구포동, 성원아파트)",경상북도 구미시 구포동 528번지,5474,5474
422,구미시,양포동,공공용,주거시설,삼구트리니엔 지하주차장 1층~2층,"경상북도 구미시 옥계북로 33 (옥계동, 삼구트리니엔)",경상북도 구미시 옥계동 907번지,3064,3064
423,구미시,양포동,공공용,주거시설,구미옥계현진에버빌엠파이어 지하주차장 1층~2층,"경상북도 구미시 옥계북로 69 (옥계동, 현진에버빌)",경상북도 구미시 옥계동 909번지,40923,40923
424,구미시,양포동,공공용,주거시설,구미옥계우미린 지하주차장 1층,"경상북도 구미시 해마루공원로 111 (옥계동, 우미린)",경상북도 구미시 옥계동 906번지,37757,37757
425,구미시,양포동,공공용,주거시설,에덴타운 지하주차장 1층~2층,"경상북도 구미시 흥안로 46 (옥계동, 에덴타운)",경상북도 구미시 옥계동 543번지,1190,1190
426,구미시,양포동,공공용,주거시설,대백타운 지하주차장 1층,"경상북도 구미시 흥안로 63 (옥계동, 대백타운)",경상북도 구미시 옥계동 540번지,2185,2185
427,구미시,양포동,공공용,주거시설,옥계 대동 한마음타운 지하주차장 1층,"경상북도 구미시 흥안로 75 (옥계동, 한마음타운)",경상북도 구미시 옥계동 539번지,1983,1983
428,구미시,양포동,공공용,주거시설,옥계 더힐 아파트 지하주차장 1층~2층,"경상북도 구미시 옥계북로 43-48 (옥계동, 옥계 더힐 아파트)",경상북도 구미시 옥계동 905-1 옥계 더힐 아파트,13918,13918
429,구미시,진미동,공공용,주거시설,인의주공 202동옆 지하1층주차장,"경상북도 구미시 인동16길 47-4 (진평동, 구미인의주공아파트)",경상북도 구미시 진평동 180번지,2787,2787
430,구미시,진미동,공공용,주거시설,인의주공 206동옆 지하1층주차장,"경상북도 구미시 인동16길 47-4 (진평동, 구미인의주공아파트)",경상북도 구미시 진평동 180번지,2621,2621
431,구미시,진미동,공공용,주거시설,진평주공 101동앞 지하1층주차장,"경상북도 구미시 인동26길 65 (진평동, 구미진평주공미래타운)",경상북도 구미시 진평동 1063번지,6913,6913
432,구미시,진미동,공공용,주거시설,진평주공 106동앞 지하1층주차장,"경상북도 구미시 인동26길 65 (진평동, 구미진평주공미래타운)",경상북도 구미시 진평동 1063번지,4305,4305
433,구미시,진미동,공공용,주거시설,진평주공 108동앞 지하1층주차장,"경상북도 구미시 인동26길 65 (진평동, 구미진평주공미래타운)",경상북도 구미시 진평동 1063번지,3283,3283
434,구미시,원평동,공공용,상업시설,S타워 지하주차장 1층,"경상북도 구미시 구미중앙로 149, S타워 (원평동)",경상북도 구미시 원평동 518-1,1256,1256
435,구미시,송정동,공공용,주거시설,대웅솔랜드101동 지하주차장 1층,"경상북도 구미시 화신로 166-6 (송정동, 대웅솔랜드)",경상북도 구미시 송정동 300-7 대웅솔랜드,1282,1282
436,구미시,송정동,공공용,주거시설,대웅솔랜드 103동 지하주차장 1층,"경상북도 구미시 화신로 166-8, 103동 (송정동, 대웅솔랜드)",경상북도 구미시 송정동 300-6 대웅솔랜드 103동,910,910
437,구미시,도량동,공공용,주거시설,도량롯데캐슬골드파크 지하주차장 2층,"경상북도 구미시 문장로 111 (도량동, 도량 롯데캐슬 골드파크)",경상북도 구미시 도량동 868 도량 롯데캐슬 골드파크,26037,26037
438,구미시,산동읍,공공용,주거시설,중흥S클래스에코시티 지하주차장 1층~2층,경상북도 구미시 산동읍 신당인덕1로 135 (중흥에스-클래스에코시티),경상북도 구미시 산동읍 인덕리 1107 중흥에스-클래스에코시티,86855.9,86855
439,구미시,산동읍,공공용,주거시설,우미린풀하우스 지하주차장 1층,경상북도 구미시 산동읍 신당인덕3로 1 (우미린풀하우스),경상북도 구미시 산동읍 인덕리 1102 우미린풀하우스,49335,49335
440,구미시,산동읍,공공용,주거시설,쌍용예가더파크 지하주차장 1층~2층,경상북도 구미시 산동읍 신당4로 56 (쌍용예가 더파크),경상북도 구미시 산동읍 신당리 1790 쌍용예가 더파크,27824.45,27824
441,구미시,산동읍,공공용,주거시설,우미린센트럴파크 지하주차장 1층~2층,경상북도 구미시 산동읍 신당3로 16 (우미린센트럴파크),경상북도 구미시 산동읍 신당리 1383 우미린센트럴파크,58860,58860
442,구미시,산동읍,공공용,주거시설,구미확장단지 골드클래스 지하주차장 1층~2층,경상북도 구미시 산동읍 신당3로 43 (구미확장단지골드클래스),경상북도 구미시 산동읍 신당리 1388 구미확장단지골드클래스,34823.17,34823
443,구미시,산동읍,공공용,주거시설,구미확장단지 골드디움 지하주차장 1층~2층,경상북도 구미시 산동읍 신당3로 15 (구미확장단지골드디움),경상북도 구미시 산동읍 신당리 1391 구미확장단지골드디움,27984,27984
444,구미시,산동읍,공공용,주거시설,구미호반베르디움 엘리트시티 지하주차장 1층~2층,경상북도 구미시 산동읍 해마루공원로 115 (구미호반베르디움엘리트시티),경상북도 구미시 산동읍 신당리 1474 구미호반베르디움엘리트시티,64503,64503
445,구미시,비산동,공공용,주거시설,강변뉴타운 효성해링턴플레이스(지하1층주차장),"경상북도 구미시 신비로 100(공단동, 강변효성해링턴)",경상북도 구미시 공단동 761 강변효성해링턴,22763.15,22763
446,구미시,송정동,공공용,주거시설,힐스테이트송정아파트 1단지 지하주차장 1~2층,"경상북도 구미시 백산로5길 9(송정동, 힐스테이트 송정 1단지)",경상북도 구미시 송정동 529 힐스테이트 송정 1단지,16411,16411
447,구미시,송정동,공공용,주거시설,힐스테이트송정아파트 2단지 지하주차장 1~2층,"경상북도 구미시 백산로5길 20(송정동, 힐스테이트 송정 2단지)",경상북도 구미시 송정동 531 힐스테이트 송정 2단지,4494,4494
448,구미시,신평1동,공공용,주거시설,광신프로그레스 구미 1단지 지하 1~2층,"경상북도 구미시 칠성로2길 12(원평동, 광신프로그레스)",경상북도 구미시 원평동 1128 광신 프로그레스 구미,8383,8383
449,구미시,신평1동,공공용,주거시설,광신프로그레스 구미 2단지 지하 1~2층,"경상북도 구미시 칠성로2길 11(원평동, 광신프로그레스)",경상북도 구미시 원평동 1127 광신 프로그레스 구미,12117,12117
450,구미시,선주원남동,공공용,주거시설,구미봉곡코아루아파트 지하주차장 1~2층,"경상북도 구미시 봉곡북로7길 25(봉곡동, 구미 봉곡 코아루)",경상북도 구미시 봉곡동 657 구미 봉곡 코아루,13292,13292
451,구미시,선주원남동,공공용,주거시설,영남네오빌시티2단지 지하주차장 1층,"경상북도 구미시 봉곡로23길6-20(봉곡동, 영남네오빌시티2단지)",경상북도 구미시 봉ㄱ속동 528 영남네오빌시티 2단지,6430,6430
452,구미시,선주원남동,공공용,주거시설,봉곡아이파크2차 지하주차장 1층,"경상북도 구미시 봉곡남로20길 15(봉곡동, 봉곡2차아이파크)",경상북도 구미시 봉곡동 392 봉곡2차아이파크,9244,9244
453,구미시,선주원남동,공공용,주거시설,봉곡e편한세상아파트 지하주차장 1~2층,"경상북도 구미시 봉곡로24길 33-11(봉곡동, 봉곡e편한세상)",경상북도 구미시 봉곡동 764 봉곡e편한세상,57636,57636
