연번,시군,읍면동,시설종류,시설용도(공공용 시설건물 주용도),민방위대피시설명칭,주소(도로명 주소),주소(지번 주소),대피가능면적(제곱미터),대피 가능인원(명)
164,경주시,동천동,공공용,관공서,경주시청 지하실 1층,경상북도 경주시 양정로 260,경상북도 경주시 동천동 800번지,433.06,433
165,경주시,불국동,공공용,관공서,불국동 행정복지센터 지하 1층,경주시 산업로 3008,경주시 시래동 367-3,202.5,202
166,경주시,보덕동,공공용,교육연구시설,KT 경주 수련관 지하주차장 1층,경주시 엑스포로 30(신평동),경주시 신평동 150-5,426,426
167,경주시,보덕동,공공용,숙박시설,더케이 경주호텔 지하주차장 1층,경주시 엑스포로 45(신평동),경주시 신평동 150-2,4796,4796
168,경주시,황성동,공공용,주거시설,황성현대5차아파트 지하주차장 1층,경주시 황성로 62,경주시 황성동 277-6,9174,9174
169,김천시,아포읍,공공용,주거시설,아포덕일한마음아파트 지하주차장 1층,김천시 아포읍 한지2길 64-9,김천시 아포읍 1119,12272.57,12272
170,김천시,자산동,공공용,주거시설,한일아파트 지하주차장 1층,김천시 모암길 117(모암동),김천시 모암동 114-3,1381,1381
171,김천시,자산동,공공용,주거시설,항도빌라 지하주차장 1층,김천시 충효길 88(성내동),김천시 성내동 62,2909.86,2909
172,김천시,자산동,공공용,주거시설,한일상가아파트 지하주차장 1층,김천시 모암사랑1길 29(모암동),김천시 모암동 181-4,944.38,944
173,김천시,자산동,공공용,관공서,김천우체국 지하 1층,김천시 중앙시장3길 22(모암동),김천시 모암동 154-2,480,480
174,김천시,자산동,공공용,의료시설,김천의료원 지하 1층,김천시 모암길 24(모암동),김천시 모암동 85-1,743,743
175,김천시,평화남산동,공공용,주거시설,한일장미아파트 지하 1층,김천시 평화장미3길 25(평화동),김천시 평화동 72-10,1629.76,1629
176,김천시,평화남산동,공공용,상업시설,하나로마트 지하주차장 2층,김천시 자산로 147(평화동),김천시 평화동 28-8,1123.97,1123
177,김천시,평화남산동,공공용,상업시설,평화프라자 지하주차장 1층,김천시 김천로 86(평화동),김천시 평화동 245-69,330.58,330
178,김천시,평화남산동,공공용,주거시설,신천지타운 지하주차장 1층,김천시 평화5길 7(평화동),김천시 평화동 245-91,1115.26,1115
179,김천시,평화남산동,공공용,관공서,중앙보건지소 지하 1층,김천시 중앙공원길 21(남산동),김천시 남산동 28-18,100,100
180,김천시,평화남산동,공공용,관공서,김천시립도서관 지하 1층,김천시 평화순환길 111(평화동),김천시 평화동 374-1,600,600
181,김천시,평화남산동,공공용,금융시설,농협중앙회지부 지하 1층,김천시 김천로 154(남산동),김천시 남산동 50-2,317.36,317
182,김천시,평화남산동,공공용,종교시설,서부성결교회 지하 1층,김천시 문화3길 8(평화동),김천시 평화동 220-1,185.12,185
183,김천시,양금동,공공용,주거시설,동보수정아파트 지하주차장 1층,김천시 양금로 194(황금동),김천시 황금동 129-3,3143.8,3143
184,김천시,양금동,공공용,종교시설,김천황금성당 지하 1층,김천시 학사대길 64(황금동),김천시 황금동 76-18,793,793
185,김천시,대신동,공공용,주거시설,우방1차아파트 지하주차장 1층,김천시 시청6길 35(신음동),김천시 신음동 1272,842.9,842
186,김천시,대신동,공공용,주거시설,삼보타운 지하주차장 1층,김천시 시청6길 42(신음동),김천시 신음동 1275,1289.2,1289
187,김천시,대신동,공공용,주거시설,신음금류아파트 지하주차장 1층,김천시 시청2길 30(신음동),김천시 신음동 847-2,5371.9,5371
188,김천시,대신동,공공용,주거시설,덕일아파트 지하주차장 1층,김천시 시청6길 21(신음동),김천시 신음동 1273,3153.7,3153
189,김천시,대신동,공공용,주거시설,건화호반맨션 지하주차장 1층 ,김천시 연화지2길 25(교동),김천시 교동 899,1758.6,1758
