하천명,하천등급,기점위치,기점경계위치,종점위치,종점경계위치,하천지정근거,하천고시일내역,본류명,1지류명,2지류명,하천연장(키로미터)
직지사천,지방,경북김천봉산,광천,경북김천모암,감천(국가) 합류점,경북536호 (1966-04-22 ),2020-04-20,낙동강,감천,직지사천,17.96
백운천,지방,경북김천대항,운수,경북김천봉산,직지사천(지방) 합류점,경북89호 (1969-07-08 ),2020-04-20,낙동강,감천,직지사천,5.47
아천,지방,경북김천어모,능치리 1196,경북김천개령,서부리 611-10 감천(국가) 합류점,경북536호 (1966-04-22 ),2020-04-20,낙동강,감천,아천,18.35
감문천,지방,경북김천감문,문무리 563,경북김천어모,군자리 1155-1 아천(지방) 합류점,경북536호 (1966-04-22 ),2020-04-20,낙동강,감천,아천,6.77
율곡천,지방,경북김천농소,봉곡리 1512-1,경북김천남,초곡리 1036-2 감천(국가) 합류점,경북536호 (1966-04-22 ),2020-04-20,낙동강,감천,율곡천,12.01
연봉천,지방,경북김천남,오봉,경북김천아포,감천(국가) 합류점,경북536호 (1966-04-22 ),2020-04-20,낙동강,감천,연봉천,10.57
광천천,지방,경북김천개령,남전리 1068,경북김천개령,광천리 1305-59 감천(국가) 합류점,경북89호 (1969-07-08 ),2020-04-20,낙동강,감천,광천천,5.03
외현천,지방,경북김천감문,금곡,경북김천개령,감천(국가) 합류점,경북536호 (1966-04-22 ),2020-04-20,낙동강,감천,외현천,8.73
대천,지방,경북구미무을,안곡,경북구미선산,감천(국가) 합류점,경북536호 (1966-04-22 ),2020-04-20,낙동강,감천,대천,13.35
봉곡천,지방,경북구미옥성,태봉,경북구미옥성,대천(지방) 합류점,경북89호 (1969-07-08 ),2020-04-20,낙동강,감천,대천,7.05
단계천,지방,경북구미선산,교동,경북구미선산,감천(국가) 합류점,경북289호 (1978-10-16 ),2020-04-20,낙동강,감천,단계천,5.47
대망천,지방,경북구미고아,대망,경북구미고아,낙동강(국가) 합류점,경북413호 (1977-12-02 ),2018-04-23,낙동강,대망천,,6.85
습문천,지방,경북구미해평,도문,경북구미해평,낙동강(국가) 합류점,경북88호 (1967-07-03 ),2018-04-23,낙동강,습문천,,5.19
인노천,지방,경북구미고아,원호리 산59(구),경북구미고아,괴평리(낙동강 합류점),경북88호 (1967-07-03 ),2017-04-27,낙동강,인노천,,7.65
성수천,지방,경북구미산동,인덕리135-5(대)번지선,경북구미산동,성수리 807-1(답)낙동강합류점,경북89호 (1969-07-08 ),2014-07-17,낙동강,성수천,,8.57
구미천,지방,경북구미수점,342-1(천)대성천(소하천)종점,경북구미신평,낙동강(국가) 합류점,경북536호 (1966-04-22 ),2014-07-17,낙동강,구미천,,10.07
봉곡천,지방,경북구미부곡,부곡,경북구미도량,구미천(지방) 합류점,경북25호 (1982-02-02 ),2009-07-23,낙동강,구미천,봉곡천,4.72
금오천,지방,경북구미남통,남통,경북구미원평,구미천(지방) 합류점,경북88호 (1967-07-03 ),2010-09-27,낙동강,구미천,금오천,7
한천,지방,경북칠곡가산,다부리 산15(임)번지선,경북구미양호,308-30(도)번지선낙동강합류점,경북536호 (1966-04-22 ),2014-07-17,낙동강,한천,,22.98
금산천,지방,경북구미장천,오로,경북구미장천,한천(지방) 합류점,경북88호 (1967-07-03 ),2018-04-23,낙동강,한천,금산천,7.63
이계천,지방,경북구미신동,470(답)번지선,경북구미임수,540-5(임)번지선 낙동강합류점,경북536호 (1966-04-22 ),2014-07-17,낙동강,이계천,,6.57
광암천,지방,경북칠곡석적,성곡리 70답 지번선,경북칠곡석적,중리 722천 지번선 낙동강합류점,경북89호 (1969-07-08 ),2014-07-31,낙동강,광암천,,6.05
광평천,지방,경북구미형곡,형곡,경북구미임은,낙동강(국가) 합류점,경북88호 (1967-07-03 ),2010-12-20,낙동강,광평천,,8.21
경호천,지방,경북김천남,부상,경북칠곡약목,낙동강(국가) 합류점,경북536호 (1966-04-22 ),2013-07-18,낙동강,경호천,,11.79
두만천,지방,경북칠곡약목,남계(두만),경북칠곡약목,낙동강(국가) 합류점,경북536호 (1966-04-22 ),2018-04-23,낙동강,경호천,두만천,3.01
반지천,지방,경북칠곡가산,학산,경북칠곡석적,낙동강(국가) 합류점,경북536호 (1966-04-22 ),2013-07-18,낙동강,반지천,,9.15
강정천,지방,경북칠곡약목,각산,경북칠곡약목,낙동강(국가) 합류점,경북89호 (1969-07-08 ),2009-07-23,낙동강,강정천,,6.92
동정천,지방,경북칠곡왜관,봉계리 412-8유 지번선,경북칠곡왜관,왜관리 1237-1전 지번선 낙동강합류점,경북536호 (1966-04-22 ),2014-07-31,낙동강,동정천,,6.75
백천,지방,경북성주초전,월곡(달말),경북성주선남,낙동강(국가) 합류점,경북536호 (1966-04-22 ),2013-06-01,낙동강,백천,,29.6
이천,지방,경북성주벽진,용암리 달창마을앞 지점,경북성주월항,백천(지방) 합류점,경북536호 (1966-04-22 ),1993-10-01,낙동강,백천,이천,19.1
봉암천,지방,경북성주용암,중거(지수),경북성주선남,백천(지방) 합류점,경북536호 (1966-04-22 ),2018-04-23,낙동강,백천,봉암천,8.81
신천,지방,경북성주용암,마월(월곡),경북성주용암,낙동강(국가) 합류점,경북536호 (1966-04-22 ),2013-08-26,낙동강,신천,,13.01
대조천,지방,경북성주용암,상신,경북성주용암,신천(지방) 합류점,경북89호 (1969-07-08 ),2010-02-22,낙동강,신천,대조천,5.7
하빈천,지방,경북칠곡지천,송정,경북칠곡지천,"대구,경북도계", ,2011-07-14,낙동강,하빈천,,2.4
자호천,지방,경북포항죽장,합덕리(양지),경북영천조교,883-1천 번지선 금호강(국가)지점,경북536호 (1966-04-22 ),1995-07-10,낙동강,금호강,자호천,35.85
현내천,지방,경북포항죽장,봉계(두문),경북포항죽장,자호천(지방) 합류점,경북88호 (1969-07-02 ),,낙동강,금호강,자호천,5.8
가사천,지방,경북포항죽장,가사,경북포항죽장,자호천(지방) 합류점,경북536호 (1966-04-22 ),,낙동강,금호강,자호천,6.75
정자천,지방,경북포항죽장,감곡,경북포항죽장,자호천(지방) 합류점,경북88호 (1969-07-02 ),,낙동강,금호강,자호천,6.4
하거천,지방,경북영천자양,보현(탑전),경북영천자양,자호천(지방) 합류점,경북536호 (1966-04-22 ),,낙동강,금호강,자호천,6.75
상신천,지방,경북영천자양,신방,경북영천자양,자호천(지방) 합류점,경북88호 (1969-07-02 ),,낙동강,금호강,자호천,6
선원천,지방,경북영천임고,삼매(매곡),경북영천임고,자호천(지방) 합류점,경북88호 (1969-07-02 ),,낙동강,금호강,자호천,7.5
임고천,지방,경북영천임고,수성,경북영천고경,자호천(지방) 합류점,경북536호 (1966-04-22 ),2001-12-24,낙동강,금호강,자호천,20.4
고촌천,지방,경북영천고경,덕정,경북영천고경,금호강(국가) 기점,경북536호 (1966-04-22 ),1998-07-23,낙동강,금호강,고촌천,20.5
상계천,지방,경북영천고경,삼포(수흥),경북영천고경,고촌천(지방) 합류점,경북88호 (1969-07-02 ),2010-02-22,낙동강,금호강,고촌천,6.4
차당천,지방,경북영천고경,삼귀,경북영천고경,고촌천(지방) 합류점,경북88호 (1969-07-02 ),,낙동강,금호강,고촌천,6.8
의곡천,지방,경북영천고경,오류,경북영천고경,고촌천(지방) 합류점,경북88호 (1969-07-02 ),2010-12-20,낙동강,금호강,고촌천,7.7
신령천,지방,경북영천신령,치산,경북영천청통,고촌천(지방) 합류점,경북536호 (1966-04-22 ),2012-12-06,낙동강,금호강,신령천,27.5
신양천,지방,경북영천신령,연정,경북영천신령,고촌천(지방) 합류점,경북88호 (1969-07-02 ),,낙동강,금호강,신령천,7
용호천,지방,경북영천화산,당지,경북영천화산,고촌천(지방) 합류점,경북536호 (1966-04-22 ),,낙동강,금호강,신령천,7
용연천,지방,경북영천청통,신학,경북영천청통,신령천(지방) 합류점,경북88호 (1969-07-02 ),,낙동강,금호강,신령천,6
삼부천,지방,경북영천화산,화산,경북영천청통,신령천(지방) 합류점,경북536호 (1966-04-22 ),2011-07-14,낙동강,금호강,신령천,7.22
고현천,지방,경북영천화북,상송,경북영천화룡,신령천(지방) 합류점,경북536호 (1966-04-22 ),1993-12-28,낙동강,금호강,신령천,26
횡계천,지방,경북영천화북,정각,경북영천화북,고현천(지방) 합류점,경북88호 (1969-07-02 ),,낙동강,금호강,신령천,8.8
오산천,지방,경북영천화북,공덕,경북영천화북,고현천(지방) 합류점,경북88호 (1969-07-02 ),,낙동강,금호강,신령천,5
안천,지방,경북영천화북,구전,경북영천화북,고현천(지방) 합류점,경북536호 (1966-04-22 ),2012-04-30,낙동강,금호강,신령천,8.28
북안천,지방,경북영천북안,옥천,경북영천도동,금호강(국가) 합류점,경북536호 (1966-04-22 ),2003-02-03,낙동강,금호강,북안천,15.9
용호천,지방,경북영천북안,관동,경북영천북안,북안천(지방) 합류점,경북88호 (1969-07-02 ),,낙동강,금호강,북안천,5.7
봉동천,지방,경북영천괴연,괴연,경북영천봉동,북안천(지방) 합류점,경북88호 (1969-07-02 ),2011-04-04,낙동강,금호강,북안천,5.4
대창천,지방,경북영천대창,운천,경북경산진량,금호강(국가) 합류점,경북536호 (1966-04-22 ),2001-12-24,낙동강,금호강,대창천,15.53
청통천,지방,경북영천청통,신원,경북경산하양,금호강(국가) 합류점,경북536호 (1966-04-22 ),1999-08-09,낙동강,금호강,청통천,19.62
박사천,지방,경북영천와촌,음양,경북영천와촌,청통천(지방) 합류점,경북536호 (1966-04-22 ),2003-02-03,낙동강,금호강,청통천,7.08
조산천,지방,경북경산하양,대곡,경북경산하양,청통천(지방) 합류점,경북536호 (1966-04-22 ),2010-12-20,낙동강,금호강,청통천,4.1
부기천,지방,경북영천대창,구지리 산167번지,경북경산하양,금락리 375-270번지 금호강(국가) 합류점,경북88호 (1969-07-02 ),2016-05-26,낙동강,금호강,부기천,10.12
오목천,지방,경북경산용성,송림,경북경산대정,금호강(국가) 합류점, ,1989-07-15,낙동강,금호강,오목천,23
오산천,지방,경북경산용성,곡란,경북경산용성,오목천(지방) 합류점,경북88호 (1969-07-02 ),2004-02-09,낙동강,금호강,오목천,4.8
사림천,지방,경북경산남산,사림,경북경산남산,오목천(지방) 합류점,경북536호 (1966-04-22 ),2004-02-09,낙동강,금호강,오목천,5.3
남천,지방,경북경산남천,하도,경북경산대정,"대구,경북도계", ,2010-02-22,낙동강,금호강,남천,16.43
송백천,지방,경북경산남천,신방,경북경산남천,남천(지방) 합류점,경북88호 (1969-07-02 ),2002-04-25,낙동강,금호강,남천,4.56
팔거천,지방,경북칠곡동명,가천(상지),경북칠곡동명,"대구,경북도계", ,2005-07-21,낙동강,금호강,팔거천,8
구야천,지방,경북칠곡동명,기성,경북칠곡동명,팔거천(지방) 합류점,경북89호 (1969-07-08 ),2012-04-30,낙동강,금호강,팔거천,6.18
이언천,지방,경북칠곡지천,달서,경북칠곡동명,금호강(국가) 합류점,경북536호 (1966-04-22 ),2001-12-24,낙동강,금호강,이언천,14
연호천,지방,경북칠곡지천,낙산,경북칠곡지천,이언천(지방) 합류점,경북89호 (1969-07-08 ),2001-12-25,낙동강,금호강,이언천,6
용소천,지방,경북고령성산,용소리 용소저수지,경북고령성산,삼대리 낙동강 합류점,경북89호 (1969-07-08 ),2014-02-20,낙동강,용소천,,5.03
대가천,지방,경북김천증산,장전,경북성주수륜,회천(지방) 기점,경북536호 (1966-04-22 ),2017-06-05,낙동강,회천,대가천,40.96
옥동천,지방,경북김천증산,수도리 524번지선,경북김천증산,유성리 749-1번지선 대가천(지방) 합류점,경북89호 (1969-07-08 ),2017-06-05,낙동강,회천,대가천,8.02
화죽천,지방,경북성주가천,신계리 1129번지선,경북성주가천,화죽리 대가천(지방) 합류점,경북536호 (1966-04-22 ),2009-07-23,낙동강,회천,대가천,11.25
계정천,지방,경북고령덕곡,백리 60번지선,경북성주수륜,계정리 150-6번지선 대가천(지방) 합류점,경북89호 (1969-07-08 ),2017-08-28,낙동강,회천,대가천,5.4
금성천,지방,경북고령운수,신간리 269번지선,경북고령운수,681번지선 회천(지방) 합류점,경북89호 (1969-07-08 ),2017-08-28,낙동강,회천,금성천,7.48
소가천,지방,경북성주수륜,백운리 524-3번지선,경북고령대가야,본관리 925-194번지선 회천(지방) 합류점,경북536호 (1966-04-22 ),2017-08-28,낙동강,회천,소가천,14.4
오리천,지방,경북고령덕곡,옥계리 361번지선,경북고령덕곡,본리리 557번지선 소가천(지방) 합류점,경북89호 (1969-07-08 ),2017-08-28,낙동강,회천,소가천,4.17
내곡천,지방,경북고령고령,신리 산29-8(임),경북고령고령,헌문리 334-1(천) 회천(지방)합류점,경북536호 (1966-04-22 ),2014-02-20,낙동강,회천,내곡천,7.41
안림천,지방,경북고령쌍림,산주리 72-1번지선 석사교 지점,경북고령대가야,외리 65번지선 회천(지방) 합류점,경북536호 (1966-04-22 ),2017-08-28,낙동강,회천,안림천,13.49
용동천,지방,경북고령쌍림,용리 347-2번지선 용동교 지점,경북고령대가야,외리 1178-9번지선 안림천(지방) 합류점,경북25호 (1982-02-02 ),2017-08-28,낙동강,회천,안림천,4.07
신안천,지방,경북고령성산,사부리 425-2번지선,경북고령개진,신안리 479-1번지선 회천(지방) 합류점,경북89호 (1969-07-08 ),2017-08-28,낙동강,회천,신안천,4.95
동창천,지방,경북경주산내,대현리3100번지선,경북청도청도,내호리276-62번지선 밀양강(국가)기점, ,2014-10-30,낙동강,밀양강,동창천,59.99
범곡천,지방,경북경주산내,대현리 2649번지선,경북경주산내,대현리 3127-25번지선 동창천(지방)합류점,경북88호 (1969-07-02 ),2014-10-30,낙동강,밀양강,동창천,7.49
감존천,지방,경북경주산내,감산리 산313번지선,경북경주산내,내일리 1263-4번지선 동창천(지방)합류점,경북536호 (1966-04-22 ),2014-10-30,낙동강,밀양강,동창천,8
직현천,지방,경북경주산내,우라리 1239번지선,경북경주산내,신원리444-13번지선 동창천(지방)합류점,경북536호 (1966-04-22 ),2014-10-30,낙동강,밀양강,동창천,7.55
지촌천,지방,경북청도운문,마일리 312번지선,경북청도운문,지촌리 658-1번지선 동창천(지방)합류점,경북88호 (1969-07-02 ),2014-10-30,낙동강,밀양강,동창천,8.55
운문천,지방,경북청도운문,신원리산169-1번지선,경북청도운문,순지리362번지선 동창천(지방)합류점,경북536호 (1966-04-22 ),2014-10-30,낙동강,밀양강,동창천,13.67
신원천,지방,경북청도운문,신원리 1805번지선,경북청도운문,신원리 747-2번지선 운문천(지방)합류점,경북88호 (1969-07-02 ),2014-10-30,낙동강,밀양강,동창천,8
동곡천,지방,경북청도금천,갈지리 산149번지선,경북청도금천,산지리 1637-19번지선 동창천(지방)합류점,경북536호 (1966-04-22 ),2014-10-30,낙동강,밀양강,동창천,9.85
부일천,지방,경북경산용성,부일리 34-2번지선,경북청도금천,사전리 266-2번지선 동곡천(지방)합류천,경북88호 (1969-07-02 ),2014-10-30,낙동강,밀양강,동창천,13.51
관하천,지방,경북청도매전,두곡리767-3번지,경북청도매전,북지리 산9번지선 동창천(지방)합류점,경북536호 (1966-04-22 ),2014-10-30,낙동강,밀양강,동창천,9.98
청도천,지방,경북청도각북,금천,경북청도청도,밀양강(국가) 합류점,경북536호 (1966-04-22 ),2012-04-30,낙동강,밀양강,청도천,38.97
오산천,지방,경북청도각북,오산(오이),경북청도각북,청도천(지방) 합류점,경북88호 (1969-07-02 ),,낙동강,밀양강,청도천,5
풍각천,지방,경북청도풍각,화산,경북청도풍각,청도천(지방) 합류점,경북536호 (1966-04-22 ),2011-10-13,낙동강,밀양강,청도천,12.1
현리천,지방,경북청도풍각,수월,경북청도풍각,풍각천(지방) 합류점,경북88호 (1969-07-02 ),2005-11-28,낙동강,밀양강,청도천,7.1
부곡천,지방,경북청도각남,사동,경북청도각남,청도천(지방) 합류점,경북89호 (1969-07-08 ),,낙동강,밀양강,청도천,5
대곡천,지방,경북청도이서,대곡,경북청도화양,청도천(지방) 합류점,경북536호 (1966-04-22 ),2002-04-25,낙동강,밀양강,청도천,8.92
금혁천,지방,경북청도이서,수야리 산103-6임 번지선,경북청도이서,서원리 대곡천(지방) 합류점,경북88호 (1969-07-02 ),2010-07-12,낙동강,밀양강,청도천,6.3
다로천,지방,경북청도화양,송금,경북청도청도,청도천(지방) 합류점,경북88호 (1969-07-02 ),2012-04-30,낙동강,밀양강,청도천,8.23
형산강,지방,경북경주내남,"경북,경남도계",경북경주율동,형산강(국가) 기점, ,1993-09-22,형산강,,,11.56
이조천,지방,경북경주내남,박달(괘전),경북경주내남,형산강(지방) 합류점,경북25호 (1982-02-02 ),2017-06-05,형산강,이조천,,12.6
화곡천,지방,경북경주내남,화곡(송림),경북경주내남,형산강(지방) 합류점,경북88호 (1969-07-03 ),2010-02-22,형산강,화곡천,,7.5
대천,지방,경북경주서,천촌리 산85(구) 덕천저수지,경북경주호현,형산강 합류점,경북25호 (1982-02-02 ),2016-01-21,형산강,대천,,22.23
심곡천,지방,경북경주서,도리,경북경주서,심곡리 1067-2답 대천 합류점,경북88호 (1969-07-03 ),2011-10-13,형산강,대천,심곡천,4.24
건천,지방,경북경주건천,송선리 1499천,경북경주건천,건천리 359-8도(대천 합류점),경북536호 (1966-04-22 ),2016-01-21,형산강,대천,건천,4.07
제내천,지방,경북경주건천,용명리 313(유) 용곡저수지,경북경주건천,대천 합류점,경북25호 (1982-02-02 ),2016-01-21,형산강,대천,제내천,3.99
고천,지방,경북경주건천,화천(백석),경북경주건천,대천(지방) 합류점,경북536호 (1966-04-22 ),2011-07-14,형산강,대천,고천,4.76
남천,지방,경북경주마,952-1번지선,경북경주탑,87-7번지선 형산강(국가) 합류점,경북536호 (1966-04-22 ),2017-08-28,형산강,남천,,17.25
원동천,지방,경북경주외동,제내리 327번지선,경북경주시,산1번지선 남천(지방) 합류점,경북536호 (1966-04-22 ),2017-08-28,형산강,남천,원동천,6.08
북천,지방,경북경주천군,산354번지선,경북경주성건,형산강(국가) 합류점,경북536호 (1966-04-22 ),2010-12-20,형산강,북천,,14.5
덕동천,지방,경북경주왕산,왕산,경북경주덕동,북천(지방) 합류점,경북88호 (1969-07-03 ),2018-04-23,형산강,북천,덕동천,4.42
소현천,지방,경북경주현곡,남사(경동),경북경주현곡,형산강(국가) 합류점,경북536호 (1966-04-22 ),2017-06-05,형산강,소현천,,8.04
태암천,지방,경북경주현곡,비대,경북경주현곡,소현천(지방) 합류점,경북88호 (1969-07-03 ),2017-06-05,형산강,소현천,태암천,2.96
신당천,지방,경북경주천북,물천리 1126-1번지선,경북경주천북,신당리 1297번지선 형산강(국가) 합류점,경북536호 (1966-04-22 ),2017-08-28,형산강,신당천,,8.07
사방천,지방,경북경주안강,검단리 1381번지선,경북경주안강,사방리 458-2번지선 형산강(국가) 합류점,경북25호 (1982-02-02 ),2004-11-25,형산강,사방천,,4.31
칠평천,지방,경북경주안강,두류,경북경주안강,형산강(국가) 합류점,경북536호 (1966-04-22 ),2004-11-25,형산강,칠평천,,11.11
사박천,지방,경북경주안강,두류,경북경주안강,칠평천(지방) 합류점,경북88호 (1969-07-03 ),2018-04-23,형산강,칠평천,사박천,4.56
야일천,지방,경북경주안강,강교,경북경주안강,사박천(지방) 합류점,경북88호 (1969-07-03 ),2018-04-23,형산강,칠평천,사박천,4.36
옥산천,지방,경북경주안강,옥산(말내),경북경주안강,칠평천(지방) 합류점,경북88호 (1969-07-03 ),2018-04-23,형산강,칠평천,옥산천,4.21
기계천,지방,경북포항기계,오덕,경북경주강동,형산강(국가) 합류점,경북536호 (1966-04-22 ),2017-06-05,형산강,기계천,,26.13
화대천,지방,경북포항기계,미현(미노),경북포항기계,기계천(지방) 합류점,경북536호 (1966-04-22 ),2019-10-24,형산강,기계천,화대천,3.24
내단천,지방,경북포항신광,냉수(주막),경북포항기계,기계천(지방) 합류점,경북536호 (1966-04-22 ),2019-10-24,형산강,기계천,내단천,3.78
왕신천,지방,경북경주천북,화산(나리),경북경주강동,형산강(국가) 합류점,경북536호 (1966-04-22 ),2008-12-22,형산강,왕신천,,8.69
자명천,지방,경북포항연일,학전,경북포항연일,형산강(국가) 합류점,경북25호 (1982-02-02 ),,형산강,자명천,,5
칠성천,지방,경북포항대송,대각,경북포항연일,형산강(국가) 합류점,경북536호 (1966-04-22 ),2004-11-25,형산강,칠성천,,5.3
동천,지방,경북경주외동,괘릉,경북경주외동,동천(지방) 기점,경북536호 (1966-04-22 ),2019-10-24,태화강,동천,,12.05
입실천,지방,경북경주외동,입실리 산27-8임번지선(입실저수지),경북경주외동,입실리 1310전 번지선 동천합류점,경북25호 (1982-02-02 ),2014-07-31,태화강,동천,입실천,3.8
신안천,지방,경북영덕지품,도계리 280(답),경북영덕지품,영덕오십천(지방)합류점,경북88호 (1969-07-03 ),2014-12-01,영덕 오십천,신안천,,5.5
대서천,지방,경북영덕달산,옥산리1004(천),경북영덕지품,신양리 463-49(답)(오십천)합류점,경북536호 (1966-04-22 ),2014-12-01,영덕 오십천,대서천,,14.73
가천,지방,경북청송부동,나동리 196-3(전),경북영덕달산,옥산리 1004(천)(대서천) 합류점,경북536호 (1966-04-22 ),2014-12-01,영덕 오십천,대서천,가천,10.55
소서천,지방,경북영덕달산,봉산리 251(유),경북영덕달산,대서천(지방)합류점,경북536호 (1966-04-22 ),2014-12-01,영덕 오십천,대서천,소서천,8.44
용덕천,지방,경북영덕지품,송천리461-2(답),경북영덕달산,소서천(지방)합류점,경북88호 (1969-07-03 ),2014-12-01,영덕 오십천,대서천,소서천,6.1
관동천,지방,경북영덕지품,삼화리 660(답),경북영덕지품,영덕오십천(지방)합류점,경북536호 (1966-04-22 ),2014-12-01,영덕 오십천,관동천,,4.84
나곡천,지방,경북울진북,검성,경북울진북,나곡해안,경북88호 (1969-07-03 ),2012-04-30,나곡천,,,8
부구천,지방,경북울진북,덕구리 561-3(천) 덕구온천지점,경북울진북,부구리 1009(천) 상부천(소) 합류점,경북536호 (1966-04-22 ),2016-06-16,부구천,,,9.62
남대천,지방,경북울진북,하당리 외두천(지방) 합류점,경북울진울진,읍남해안,경북536호 (1966-04-22 ),2013-12-16,남대천,,,13.3
외두천,지방,경북울진북,두천리 외두9교 지점,경북울진북,하당리 남대천(지방) 합류점,경북88호 (1969-07-03 ),2016-06-16,남대천,외두천,,6.56
박금천,지방,경북울진북,소곡,경북울진울진,남대천(지방) 합류점,경북88호 (1969-07-03 ),2012-04-30,남대천,박금천,,7.26
산사천,지방,경북울진울진,읍남리995-1(천),경북울진울진,남대천 합류점,경북88호 (1969-07-03 ),2014-12-01,남대천,산사천,,2.74
왕피천,지방,경북울진금강송,왕피리 장수포천(지방) 합류점,경북울진근남,수산해안,경북536호 (1966-04-22 ),2016-12-08,왕피천,,,31.42
장수포천,지방,경북영양수비,오기리 122-6번지선 오기저수지 방류부,경북울진서,왕피리 왕피천(지방) 합류점,경북536호 (1966-04-22 ),2014-10-02,왕피천,장수포천,,27.48
발리천,지방,경북영양수비,발리리 25(답) (용곡저수지),경북영양수비,발리리 477(답) 장수포천(지방)  합류점,경북88호 (1969-07-03 ),2013-07-18,왕피천,장수포천,발리천,4.43
신원천,지방,경북영양수비,본신리 음지터천(소) 합류점,경북영양수비,신원리 장수포천(지방) 합류점,경북88호 (1969-07-03 ),2016-01-21,왕피천,장수포천,신원천,9.36
본돈천,지방,경북영양수비,본신리 본돈3사방댐 지점,경북영양수비,수하리 장수포천(지방) 합류점,경북88호 (1969-07-03 ),2016-01-21,왕피천,장수포천,본돈천,5.26
신암천,지방,경북영양수비,신암리 새골천(소) 합류점,경북영양수비,수하리 장수포천(지방) 합류점,경북536호 (1966-04-22 ),2016-01-21,왕피천,장수포천,신암천,10.42
매화천,지방,경북울진매화,길곡리,경북울진근남,구산리(왕피천 합류점),경북536호 (1966-04-22 ),2016-12-08,왕피천,매화천,,22.86
광천,지방,경북울진금강송,쌍전리 산150-9(도),경북울진근남,횡곡리 249-10 왕피천(지방) 합류점,경북536호 (1966-04-22 ),2016-06-16,왕피천,광천,,26.9
후곡천,지방,경북울진금강송,소광리 251(전),경북울진금강송,쌍전리 광천(지방) 합류점,경북88호 (1969-07-03 ),2016-06-16,왕피천,광천,후곡천,7.7
보부천,지방,경북울진금강송,하원리 201(답),경북울진금강송,하원리 광천(지방) 합류점,경북88호 (1969-07-03 ),2016-06-16,왕피천,광천,보부천,2.05
척산천,지방,경북울진기성,이평,경북울진기성,척산해안,경북536호 (1966-04-22 ),2010-09-06,척산천,,,10.36
방율천,지방,경북울진기성,삼산,경북울진기성,척산천(지방) 합류점,경북536호 (1966-04-22 ),2003-09-15,척산천,방율천,,4.4
감률천,지방,경북울진기성,방율(사천),경북울진기성,방율천(지방) 합류점,경북88호 (1969-07-03 ),2010-09-06,척산천,방율천,감률천,6.06
황보천,지방,경북울진기성,황보,경북울진평해,월송해안,경북536호 (1966-04-22 ),2010-07-12,황보천,,,4.5
남대천,지방,경북울진온정,외신미리150-1(천),경북울진평해,직산리 동해안,경북536호 (1966-04-22 ),2014-12-01,남대천,,,20.86
내선미천,지방,경북울진온정,선구리712-1(천),경북울진온정,남대천 합류점,경북88호 (1969-07-03 ),2014-12-01,남대천,내선미천,,2.28
온정천,지방,경북울진온정,조금리1016-1(천),경북울진온정,남대천 합류점,경북88호 (1969-07-03 ),2014-12-01,남대천,온정천,,9.95
금천,지방,경북울진온정,덕산리76-6(천),경북울진온정,남대천 합류점,경북88호 (1969-07-03 ),2014-12-01,남대천,금천,,6.63
삼율천,지방,경북울진온정,평해면면계,경북울진평해,삼율해안,경북88호 (1969-07-03 ),2003-02-03,삼율천,,,6.41
유금천,지방,경북영덕병곡,금곡(유금),경북영덕병곡,금곡해안,경북88호 (1969-07-03 ),2012-04-30,유금천,,,5.08
백록천,지방,경북영덕병곡,영리 1199-1천 번지선,경북영덕병곡,병곡리 병곡해안,경북88호 (1969-07-03 ),2014-07-31,백록천,,,6.2
아곡천,지방,경북영덕병곡,아곡,경북영덕병곡,원황해안,경북88호 (1969-07-03 ),2008-12-22,아곡천,,,6.11
각리천,지방,경북영덕병곡,각리,경북영덕병곡,덕천해안,경북88호 (1969-07-03 ),2008-12-22,각리천,,,5.63
송천,지방,경북영덕창수,백청리 산53-2,경북영덕병곡,덕천리 해안,경북536호 (1966-04-22 ),2015-05-27,송천,,,28.65
석문천,지방,경북영덕창수,수리 산129,경북영덕창수,삼계리 269,경북88호 (1969-07-03 ),2015-05-28,송천,석문천,,3.52
울령천,지방,경북영덕창수,창수리 437-1,경북영덕병곡,미곡리 산176,경북536호 (1966-04-22 ),2015-05-28,송천,울령천,,12.12
남천,지방,경북영덕영해,묘곡,경북영덕영해,송천(지방) 합류점,경북536호 (1966-04-22 ),2012-04-30,송천,남천,,3.21
축산천,지방,경북영덕영덕,화천리 화천저수지 직하류,경북영덕축산,축산리 동해,경북536호 (1966-04-22 ),2015-05-28,축산천,,,19.07
조항천,지방,경북영덕축산,조항리 칠성저수지 직하류,경북영덕축산,축산천 합류점,경북88호 (1969-07-03 ),2015-05-28,축산천,조항천,,5.1
동로천,지방,경북영덕축산,대곡,경북영덕축산,조항천(지방)  합류점,경북88호 (1969-07-03 ),2015-05-28,축산천,조항천,동로천,3.3
장사천,지방,경북영덕남정,도천리 사암천(소) 합류부,경북영덕남정,부흥리 동해,경북536호 (1966-04-22 ),2015-05-28,장사천,,,5.85
지경천,지방,경북영덕남정,회동(상해),경북영덕남정,부경해안,경북88호 (1969-07-03 ),2010-07-12,지경천,,,4.75
광천,지방,경북포항송라,중산리 산126구 극락교지점,경북포항송라,조사리 719-2천 동해안,경북536호 (1966-04-22 ),2014-12-01,광천,,,7.56
청하천,지방,경북포항청하,청계리 1066구 무명교지점,경북포항청하,월포리 645-114천 동해안,경북536호 (1966-04-22 ),2014-12-01,청하천,,,7.69
