No,쉼터명칭,도로명주소,지번주소,시설유형,시설면적,이용가능인원(명),위도,경도
106,원전학구경로당,경상북도 영덕군 지품면 원전길 11-3 ,경상북도 영덕군 지품면 원전리 455-3,노인시설,117.00,29,36.485654,129.187955
107,원전쟁골경로당,경상북도 영덕군 지품면 원전1길 41-1 ,경상북도 영덕군 지품면 원전리 240,노인시설,72.35,10,36.48774,129.192151
108,지품리 경로당,경상북도 영덕군 지품면 뫼들내길 62,경상북도 영덕군 지품면 지품리 66-1,노인시설,86.95,21,36.482589,129.182112
109,지품학곡경로당,경상북도 영덕군 지품면 뫼들내길 166-1 ,경상북도 영덕군 지품면 지품리 355,노인시설,48.32,15,36.479746,129.172593
110,기사리 경로당,경상북도 영덕군 지품면 기사1길 4,경상북도 영덕군 지품면 기사리 466-1,노인시설,66.12,16,36.472384,129.175983
111,기사2길경로당,경상북도 영덕군 지품면 기사길 217,경상북도 영덕군 지품면 기사리 263-1,마을회관,90.40,22,36.46293,129.177361
112,황장리 경로당,경상북도 영덕군 지품면 경동로 5884,경상북도 영덕군 지품면 황장리 157-3,노인시설,83.91,20,36.492354,129.182874
113,신안리새마을경로당,경상북도 영덕군 지품면 신안1길 14,경상북도 영덕군 지품면 신안리 94-16,노인시설,54.18,13,36.448994,129.282732
114,신안부인경로당,경상북도 영덕군 지품면 신안1길 63,경상북도 영덕군 지품면 신안리 205-3,노인시설,54.18,13,36.448223,129.284857
115,율전리 경로당,경상북도 영덕군 지품면 밤실길 7,경상북도 영덕군 지품면 율전리 336-1,노인시설,99.35,24,36.460836,129.279583
116,도계1리 경로당,경상북도 영덕군 지품면 지영로 373-23 ,경상북도 영덕군 지품면 도계리 218-3,마을회관,66.21,16,36.481134,129.279799
117,도계2리 경로당,경상북도 영덕군 지품면 도계1길 45,경상북도 영덕군 지품면 도계리 392-2,노인시설,83.20,20,36.503906,129.275333
118,신애리 경로당,경상북도 영덕군 지품면 신애길 78,경상북도 영덕군 지품면 신애리 10,마을회관,85.95,21,36.427725,129.345109
119,삼화1리 경로당,경상북도 영덕군 지품면 삼화2길 17-2 ,경상북도 영덕군 지품면 삼화리 58-1,노인시설,102.50,25,36.43985,129.331639
120,수암리 경로당,경상북도 영덕군 지품면 경동로 6381-3 ,경상북도 영덕군 지품면 수암리 223-1,노인시설,116.50,28,36.462673,129.216474
121,축산1리 경로당,경상북도 영덕군 축산면 축산항1길 64-2 ,경상북도 영덕군 축산면 축산리 249-3,노인시설,222.90,30,36.510492,129.445453
122,축산2리 경로당,경상북도 영덕군 축산면 염장길 40,경상북도 영덕군 축산면 축산리 654,노인시설,141.20,30,36.5016008,129.4356981
123,축산3리 경로당,경상북도 영덕군 축산면 축산항길 68,경상북도 영덕군 축산면 축산리 3-47,노인시설,161.50,30,36.508019,129.449762
124,경정1리 경로당,경상북도 영덕군 축산면 경정길 6-1 ,경상북도 영덕군 축산면 경정리 283,노인시설,208.40,30,36.4876635,129.4355359
125,경정2리 경로당,경상북도 영덕군 축산면 차유길 43-1 ,경상북도 영덕군 축산면 경정리 13,노인시설,203.30,30,36.4947487,129.4443766
126,경정3리 경로당,경상북도 영덕군 축산면 경정3길 26,경상북도 영덕군 축산면 경정리 621,노인시설,110.00,30,36.474352,129.433567
127,고곡1리(본동) 경로당,경상북도 영덕군 축산면 고실1길 8,경상북도 영덕군 축산면 고곡리 203-3,노인시설,77.00,30,36.4999816,129.4109245
128,고곡1리(갈밭목) 경로당,경상북도 영덕군 축산면 고실1길 3,경상북도 영덕군 축산면 고곡리 198-4,노인시설,30.90,30,36.4996432,129.4113454
129,고곡2리 경로당,경상북도 영덕군 축산면 고실길 42,경상북도 영덕군 축산면 고곡리 379,노인시설,75.30,30,36.47384,129.407389
130,도곡1리 경로당,경상북도 영덕군 축산면 도곡길 33,경상북도 영덕군 축산면 도곡리 133,노인시설,161.00,30,36.510091,129.410772
131,도곡2리(본동) 경로당,경상북도 영덕군 축산면 신돌석장군1길 46-8 ,경상북도 영덕군 축산면 도곡리 산 91-1,노인시설,102.70,30,36.514941,129.396459
132,도곡2리(망골) 경로당,경상북도 영덕군 축산면 신돌석장군2길 18,경상북도 영덕군 축산면 도곡리 232-1,노인시설,35.30,30,36.520138,129.401008
133,상원리(본동) 경로당,경상북도 영덕군 축산면 상원길 94,경상북도 영덕군 축산면 상원리 220-1,노인시설,100.80,30,36.507491,129.399072
134,상원리(황토목이) 경로당,경상북도 영덕군 축산면 상원길 29-3 ,경상북도 영덕군 축산면 상원리 357-1,마을회관,47.00,30,36.506456,129.39256
135,부곡리 경로당,경상북도 영덕군 축산면 부곡길 58-17 ,경상북도 영덕군 축산면 부곡리 산 5,노인시설,72.70,30,36.5097838,129.3867725
136,칠성1리 경로당,경상북도 영덕군 축산면 칠성길 291-2 ,경상북도 영덕군 축산면 칠성리 129,노인시설,79.50,30,36.497052,129.366804
137,칠성2리(진밭) 경로당,경상북도 영덕군 축산면 칠성길 428,경상북도 영덕군 축산면 칠성리 326-5,노인시설,57.50,30,36.497064,129.351976
138,칠성2리(꽃밭) 경로당,경상북도 영덕군 축산면 칠성2길 197,경상북도 영덕군 축산면 칠성리 583,노인시설,77.80,30,36.500828,129.345417
139,대곡리 경로당,경상북도 영덕군 축산면 대곡길 268,경상북도 영덕군 축산면 대곡리 340,노인시설,83.50,30,36.487585,129.351525
140,기암1리 경로당,경상북도 영덕군 축산면 기암길 7,경상북도 영덕군 축산면 기암리 83-6,노인시설,68.60,30,36.474935,129.393711
141,기암2리 경로당,경상북도 영덕군 축산면 애삼길 34,경상북도 영덕군 축산면 기암리 388-3,노인시설,75.80,30,36.494629,129.383281
142,대2리 경로당,경상북도 영덕군 영해면 대동로 1429,경상북도 영덕군 영해면 대리 231-4,노인시설,97.00,13,36.5315259,129.2629551
143,사진1리 경로당,경상북도 영덕군 영해면 밭내미길 3-1 ,경상북도 영덕군 영해면 사진리 473,노인시설,133.00,18,36.539305,129.4383946
144,성내5리 마을회관,경상북도 영덕군 영해면 예주목은길 102,경상북도 영덕군 영해면 성내리 509-3,노인시설,138.00,34,36.5442273,129.4085363
145,괴시1리 마을회관,경상북도 영덕군 영해면 호지마을길 16-1 ,경상북도 영덕군 영해면 괴시리 100-12,노인시설,198.00,49,36.5443961,129.4164104
146,사진2리 마을회관,경상북도 영덕군 영해면 영덕대게로 2374-1 ,경상북도 영덕군 영해면 사진리 298,노인시설,113.00,28,36.531525,129.440066
147,연평1리 마을회관,경상북도 영덕군 영해면 연평3길 9,경상북도 영덕군 영해면 연평리 105-1,노인시설,132.00,33,36.5530941,129.4067241
148,대진2리 마을회관,경상북도 영덕군 영해면 영덕대게로 2725-5 ,경상북도 영덕군 영해면 대진리 259,노인시설,120.00,30,36.5574492,129.4309339
149,연평2리 경로당,경상북도 영덕군 영해면 연평2길 46,경상북도 영덕군 영해면 연평리 120-7,노인시설,183.00,20,36.550471,129.4078339
150,대1리 경로당,경상북도 영덕군 영해면 대동로 1224-1 ,경상북도 영덕군 영해면 대리 108-5,노인시설,132.00,15,36.5199183,129.2770932
151,괴시3리 경로당,경상북도 영덕군 영해면 예주8길 14-1 ,경상북도 영덕군 영해면 괴시리 132-3,노인시설,85.00,25,36.5395457,129.4124828
152,대진1리 경로당,경상북도 영덕군 영해면 영덕대게로 2793,경상북도 영덕군 영해면 대진리 370,노인시설,50.00,30,36.562401,129.430061
153,벌영1리 경로당,경상북도 영덕군 영해면 벌영2길 8-5 ,경상북도 영덕군 영해면 벌영리 389-1,노인시설,260.00,25,36.5370119,129.4011631
154,원구1리 경로당,경상북도 영덕군 영해면 원구1길 46,경상북도 영덕군 영해면 원구리 138,노인시설,98.00,20,36.5390716,129.3781348
155,원구2리 경로당,경상북도 영덕군 영해면 창수영해로 198,경상북도 영덕군 영해면 원구리 721-2,노인시설,98.00,20,36.5412937,129.3650608
156,벌영2리 경로당,경상북도 영덕군 영해면 벌영5길 15,경상북도 영덕군 영해면 벌영리 263-1,노인시설,163.00,22,36.536775,129.3919243
157,묘곡2리 경로당,경상북도 영덕군 영해면 백일길 13-42 ,경상북도 영덕군 영해면 묘곡리 439,노인시설,70.00,15,36.5321341,129.3456581
158,성내2리 경로당,경상북도 영덕군 영해면 318만세1길 46-2 ,경상북도 영덕군 영해면 성내리 329-2,노인시설,104.00,19,36.5359439,129.408923
159,묘곡1리 경로당,경상북도 영덕군 영해면 대동로 601,경상북도 영덕군 영해면 묘곡리 703-7,노인시설,100.00,15,36.520304,129.337073
160,대진3리 경로당,경상북도 영덕군 영해면 건달길 3,경상북도 영덕군 영해면 대진리 118,노인시설,94.00,20,36.5498617,129.4396663
161,사진3리 경로당,경상북도 영덕군 영해면 영덕대게로 2252-1 ,경상북도 영덕군 영해면 사진리 623-1,노인시설,114.00,15,36.5213395,129.4428748
162,성내3리 경로당,경상북도 영덕군 영해면 예주1길 3,경상북도 영덕군 영해면 성내리 687-6,노인시설,136.00,23,36.535467,129.4054816
163,성내1리 경로당,경상북도 영덕군 영해면 예주길 80-8 ,경상북도 영덕군 영해면 성내리 345-1,노인시설,153.00,22,36.5387797,129.4089307
164,괴시2리 경로당,경상북도 영덕군 영해면 관어대길 8,경상북도 영덕군 영해면 괴시리 615-4,노인시설,70.00,25,36.5549165,129.4237443
165,금곡1 경로당,경상북도 영덕군 병곡면 거무실2길 2,경상북도 영덕군 병곡면 금곡리 883-20,노인시설,82.99,21,36.6434372,129.4130695
166,금곡2 경로당,경상북도 영덕군 병곡면 지경길 22-2 ,경상북도 영덕군 병곡면 금곡리 50-8,노인시설,82.56,21,36.6418418,129.421255
167,금곡3 경로당,경상북도 영덕군 병곡면 유금길 214-1 ,경상북도 영덕군 병곡면 금곡리 819,노인시설,99.20,25,36.6503801,129.3695036
168,백석2 경로당,경상북도 영덕군 병곡면 흰돌로 209-1 ,경상북도 영덕군 병곡면 백석리 170,노인시설,198.30,50,36.6234362,129.412219
169,병곡1 경로당,경상북도 영덕군 병곡면 병곡2길 7-8 ,경상북도 영덕군 병곡면 병곡리 234-2,노인시설,82.60,21,36.60235,129.4125537
170,병곡2 경로당,경상북도 영덕군 병곡면 병곡2길 23,경상북도 영덕군 병곡면 병곡리 210-2,노인시설,102.40,26,36.6012489,129.4134956
171,원황1 경로당,경상북도 영덕군 병곡면 원황길 80,경상북도 영덕군 병곡면 원황리 773-11,노인시설,99.10,25,36.5686166,129.391749
172,각리1리 경로당,경상북도 영덕군 병곡면 각리1길 45,경상북도 영덕군 병곡면 각리리 382-61,노인시설,191.70,48,36.5637201,129.3868718
173,각리2리 경로당,경상북도 영덕군 병곡면 각리3길 5-28 ,경상북도 영덕군 병곡면 각리리 735,노인시설,72.70,18,36.578397,129.367314
174,각리3리 경로당,경상북도 영덕군 병곡면 각리2길 93-2 ,경상북도 영덕군 병곡면 각리리 964-10,노인시설,66.10,17,36.5650361,129.3803337
175,사천 경로당,경상북도 영덕군 병곡면 사천길 9,경상북도 영덕군 병곡면 사천리 245-7,노인시설,99.10,25,36.548975,129.386006
176,신평 경로당,경상북도 영덕군 병곡면 신평1길 24,경상북도 영덕군 병곡면 신평리 58-11,노인시설,112.40,28,36.5544937,129.3980521
177,이천리 제2 경로당,경상북도 영덕군 병곡면 이천길 226-1 ,경상북도 영덕군 병곡면 이천리 181-4,노인시설,97.62,20,36.5854018,129.3729432
178,아치미 경로당,경상북도 영덕군 병곡면 유금1길 173-1 ,경상북도 영덕군 병곡면 금곡리 667,노인시설,55.10,15,36.6495358,129.3786167
179,영4리 경로당,경상북도 영덕군 병곡면 영2길 16-1 ,경상북도 영덕군 병곡면 영리 127,노인시설,84.60,22,36.5950499,129.4056434
180,거무역리 경로당,경상북도 영덕군 병곡면 내륙순환길 616,경상북도 영덕군 병곡면 거무역리 535-5,노인시설,76.00,18,36.5836762,129.3955158
