No,쉼터명칭,도로명주소,지번주소,시설유형,시설면적,이용가능인원(명),위도,경도
222,영덕읍사무소,경상북도 영덕군 영덕읍 우곡길 62,경상북도 영덕군 영덕읍 우곡길 62,관공서,2131,819,36.40946603871059,129.3726862283928
223,영덕읍교회,경상북도 영덕군 영덕읍 우곡길 10,경상북도 영덕군 영덕읍 우곡길 10,교회,661,254,36.40546844028521,129.37382548766263
224,영덕문화체육센터,경상북도 영덕군 영덕읍 강변길 324,경상북도 영덕군 영덕읍 강변길 324,기타시설,5644,2170,36.420226241344,129.36198122886785
225,영덕군 엠모텔,경상북도 영덕군 영덕읍 덕곡천길 86-1,경상북도 영덕군 영덕읍 덕곡천길 86-1,"연수,숙박",100,124,36.413576513955064,129.3722925571369
226,영덕군 위시모텔,경상북도 영덕군 영덕읍 덕곡천길 92,경상북도 영덕군 영덕읍 덕곡천길 92,"연수,숙박",300,132,36.41385040174116,129.37216006503039
227,영덕군 해맞이캠핑장,경상북도 영덕군 영덕읍 해맞이길 254-69,경상북도 영덕군 영덕읍 해맞이길 254-69,"연수,숙박",100,40,36.41830788151069,129.42143020636422
228,영덕고등학교,경상북도 영덕군 영덕읍 군청1길 13,경상북도 영덕군 영덕읍 군청1길 13,학교,1851,711,36.41620243752412,129.37024841367958
229,영덕야성초등학교,경상북도 영덕군 영덕읍 덕곡길 96,경상북도 영덕군 영덕읍 덕곡길 96,학교,714,275,36.41320243028067,129.36879121788797
230,강구면사무소,경상북도 영덕군 강구면 동해대로 4526,경상북도 영덕군 강구면 동해대로 4526,관공서,1368,526,36.36154382901921,129.37860317502594
231,강구교회,경상북도 영덕군 강구면 강영로 49,경상북도 영덕군 강구면 강영로 49,교회,4907,150,36.36490965662,129.3836843433648
232,이재민수용시설,경상북도 영덕군 강구면 오포리 628-1,경상북도 영덕군 강구면 오포리 628-1,기타시설,280,50,36.35366706374169,129.37883352934332
233,강구중학교,경상북도 영덕군 강구면 신강구1길 45-5,경상북도 영덕군 강구면 신강구1길 45-5,학교,1700,654,36.352975821496145,129.3799934586366
234,남정면사무소,경상북도 영덕군 남정면 진불길 43,경상북도 영덕군 남정면 진불길 43,관공서,1204,463,36.28587602666782,129.37245188304166
235,남정초등학교,경상북도 영덕군 남정면 진불길 15-6,경상북도 영덕군 남정면 진불길 15-6,학교,371,143,36.28364032401701,129.3721310505606
236,달산면사무소,경상북도 영덕군 달산면 팔각산로 1829,경상북도 영덕군 달산면 팔각산로 1829,관공서,589,226,36.3990109366632,129.30355260144097
