순번,연번,사고일자,소방접수시간,사고업체명,주소,시도,시군구,사고내용,사고원인,사고유형,제1사고물질,제2사고물질,제3사고물질,사망_직접,사망_기타,부상_직접,부상_기타,환경피해,재산피해
256,2016-037,2016-05-12,9:45:00,미원 스페셜티케미칼 ㈜,전북 완주군 봉동읍 완주산단1로 167 미원스페셜티케미칼㈜,전북,완주군,금일 09:45경 옥외저장탱크 순찰 중 황산탱크에서 황산 1.5 ㎥(추정) 방류벽안으로 유출된 사고,시설 결함,누출,황산,,,0,0,0,0,,
257,2016-038,2016-05-14,10:59:00,프로 그린테크,"경북 포항시 남구 철강산단로 284, ㈜프로그린테크",경북,포항시 남구,"화장품 제조를 위해 원료 혼합물(폼산, 헥실렌)을 고열로 가열하던 중 두 곳(반응기 덮개 벌어짐, 배관 파손)에서 원료물질이 약 50리터 유출된 사고",시설 결함,누출,폼산,헥실렌,,0,0,0,0,,
258,2016-039,2016-05-17,21:29:00,삼경유화,경남 남해고속도로 곤양졸음쉼터에서 부산방향 5㎞지점(곤양IC부근) ,경남,사천시,"위험물 이동탱크차량(25톤, 자일렌 22,570L 적재)이 남해 고속도로 상에서 부산방면으로 운행 중 언덕으로 추락·전도되어 적재된 위험물 유출(약 11,000L)사고 발생",운송차량,누출,자일렌,,,0,0,0,1,,
259,2016-040,2016-05-27,19:40:00,한국 바스프,"전남 여수시 여수산단2로 284, ㈜한국바스프",전남,여수시,"‘16.5.27(금), 19:40∼20:05경 한국바스프 MDI Chamber(건물)내에서 R2200 반응기 맹판(Blind) 제거 작업중 가스(포스겐) 감지기가 울리면서 작업자를 밖으로 철수, 탈의, 샤워를 시킴(개인 보호장구 - 송기마스크 착용)­ Chamber 내부는 상시 대기압보다 낮게 유지되는 압력의 콘크리트 밀폐구조물로 내부에서 누출시 외부로 누출되지 않는 구조(누출가스는 흡수탑으로 이송하여 적정 처리)        ­ 퇴근 후 23:50분경 자택에서 호흡곤란을 호소하여 병원으로 이송(여천 전남병원→광주 전남대병원, 중환자실에 입원), 같이 작업한 근로자 3명도 정밀검사 및 추적관찰 후 이상 없음 확인(병원내원 3명은 귀가)",시설 결함,누출,포스겐,,,1,0,0,0,,
260,2016-041,2016-05-29,22:51:00,미래산업,"경기 부천시 오정구 신흥로 441번길 23, ㈜미래산업",경기,부천시,트리클로로에틸렌(TCE) 용제로 알루미늄을 세척 중 원인미상의 증기가 발생된 사고,안전기준 미준수,기타,트리클로로에틸렌,,,0,0,0,0,,
261,2016-042,2016-05-30,21:37:00,경동원,"경기 시흥시 금이동 704-3, 서울특별시외곽순환도로 판교방향 도리분기점 인근",경기,시흥시,3중 교통사고로 트럭(7.5톤)에 실린 제로폼(냉동창고 단열재) 26개 드럼(230 kg) 중 16개가 고속도로 옆 경사지로 낙하된 사고,운송차량,누출,제로폼-A,제로폼-B,,0,1,0,1,,
262,2016-043,2016-06-01,19:03:00,부산 대학교,"부산  금정구 부산대학로 63번길 2-1, 부산대학교 삼성산학 협동관 906호",부산,금정구,3차원 레이저 실험실에서 학생 3명이 화학물질 실험 과정에서 적린과 염소산칼륨의 화학반응으로 목·얼굴 및 손부위 화상을 입은 사고로 추정,안전기준 미준수,폭발,적린,염소산칼륨,,0,0,2,0,,
263,2016-044,2016-06-04,18:34:00,램테크놀러지㈜,"충남 금산군 군북면 군북로 1056, ㈜램테크놀로지",충남,금산군,"불산(55%) 펌프실 내 필터하우징에서 파열판(압력해소용 디스크)이 터져 연결되어있던 배관을 통해 하역장 내 집수조로 유입되었고, 집수조 내의 자동펌프가 작동하지 않아 불산이 Overflow된 사고",시설 결함,누출,플루오르화수소,,,0,0,0,0,,
264,2016-045,2016-06-05,22:13:00,부흥 산업사,경기 안산시 단원구 산단로68번길 11 부흥산업사㈜,경기,안산시 단원구,알데하이드를 산화시켜 산(농약)을 제조하는 공정에서 원인 미상의 폭발 발생,시설 결함,폭발,아염소산나트륨,,,0,0,0,0,,
265,2016-046,2016-06-13,15:52:00,재료 연구소,"경남 창원시 성산구 창원대로 797(상남동 65-3), 재료연구소 2동 2층",경남,창원시 성산구,재료연구소 2층 수지합성실에서 고분자 식전 용해 실험 중 탄소복합제 용해를 위해 과산화수소와 황산을 취급하던 중 폭발(원인미상-조사중)로 인해 보호쉴드(유리카바)가 폭발해 실험 중이던 연구원 1명이 안면부에 다발성 외상을 입은 사고,안전기준 미준수,폭발,황산,,,0,0,1,0,,
266,2016-047,2016-06-28,2:38:00,이코니,경북 구미시 3공단 2로 127(시미동 170-4) ㈜이코니,경북,구미시,"사업장 옥내에 설치되어 있는 폐산저장탱크(20㎥)에서 원인미상의 이상반응으로 인해 탱크용기 상부에서 Overflow되어 폐산(질산, 염산, 불산 혼합액) 일부가 방류벽 내부로 넘쳐 흄 발생",시설 결함,누출,"폐산(질산, 염산, 황산)",,,0,0,1,0,,
267,2016-048,2016-06-28,9:15:00,고려아연,울산 울주군 온산읍 이진로 139 고려아연㈜ 온산제련소  ,울산,울주군,상기명 장소에서 황산제조시설(TW210) 보수준비 작업을 위해 FAT(Final absortion tower) 내부의 황산(70%)을 배수작업 중 완전히 배수되지 않은 상태에서 Blind flange(300A)의 볼트를 해체하다 내부의 잔류 황산이 유출되어 작업중이던 한림ENG 소속 근로자 6명이 화상을 입은 재해,안전기준 미준수,누출,황산(70%),,,2,0,4,0,,
