순번,연번,사고일자,소방접수시간,사고업체명,주소,시도,시군구,사고내용,사고원인,사고유형,제1사고물질,제2사고물질,제3사고물질,사망_직접,사망_기타,부상_직접,부상_기타,환경피해,재산피해
1,2014-001,2014-01-08,09:00:00,스미세이케미칼,경기 화성시 장안면 장안공단2길 11,경기,화성시,스미세이 케미칼 공장에서 디클로로실란 가스(10kg 추정) 누출,안전기준 미준수,누출,디클로로실란,,,0,0,1,0,,
2,2014-002,2014-01-22,06:20:00,AK켐텍(청양),충남 청양군 정산면 역촌리 625,충남,청양군,배관 청소작업 이후 잔류물 확인치 못해 밸브를 개방하여 잔류 슬러지(수산화나트륨 2%) 작업자 얼굴에 튀어 화상,안전기준 미준수,누출,수산화나트륨,,,0,0,2,0,,
3,2014-003,2014-02-08,23:00:00,일진LED,"경기 안산시 단원구 원시로 163, 일진엘이디",경기,안산시 단원구,폐산 이송배관이 파손되어 누출(3리터 가량)되어 흡착포를 이용하여 폐산 제거,시설 결함,누출,폐산,,,0,0,0,0,,
4,2014-004,2014-02-13,12:55:00,빙그레,경기 남양주시 도농동 344-3 빙그레 도농2공장,경기,남양주시,"건물 내 원인불명 폭발로 인해 구조물이 일부 붕괴, 지상에 있는 암모니아 배관이 파손되어 가스 누출",안전기준 미준수,누출,암모니아,,,1,0,3,0,,5000000
5,2014-005,2014-02-15,10:54:00,연성정밀,"경기 화성시 장안면 수정로 207, 연성정밀화학㈜ 옥외저장소",경기,화성시,의약용 화합물 및 항생물질 제조과정에서 발생한 폐톨루엔 및 아세톤을 옥외 저장소에 보관 중인 용기에 붓는 과정에서 정전기 발생으로 화재로 추정,안전기준 미준수,화재,톨루엔,아세톤,,0,0,0,0,,3000
6,2014-006,2014-02-15,11:35:00,한미화학공업,전북 익산시 영등동 제2산업단지,전북,익산시,황산알루미늄 제조공정 중 황산과 물이 반응하는 반응기(탱크)의 노후로 고압 발열반응을 견디지 못하고 상부가 파손,시설 결함,폭발,황산,,,0,0,0,0,,
7,2014-007,2014-02-22,15:08:00,정일에너지(롯데케미칼),울산 울주군 온산읍 산암리 435번지 온산항 사거리,울산,울주군,포크레인으로 지중에 스팀라인 설치 작업 중 약 2m 지하에 매설 된 8인치 유류(m-자일렌) 공급배관을 파손(2인치)하여 유류 누출사고 발생,안전기준 미준수,누출,m-자일렌,,,0,0,0,0,인근 부두로 유류유출,
8,2014-008,2014-02-25,14:20:00,이수화학,울산 남구 부곡동 156,울산,남구,불산  용액(97% 함량 순도 불산 95%+파라핀5%) 주입 배관 펌프에 금이가서 100L 누출,시설 결함,누출,플루오르화수소,,,0,0,0,0,,
9,2014-009,2014-03-04,09:12:00,GJ물류창고,경기 용인시 처인구 양지면 추계리 19-4,경기,용인시 처인구,지하 물류창고 내 냉동 콤프레샤에서 암모니아 가스 미량 누출,시설 결함,누출,암모니아,,,0,0,0,0,,
10,2014-010,2014-03-09,07:07:00,디에이피,경기 안성시 미양면 안성맞춤대로 474-22,경기,안성시,컴퓨터 기판제조 공장동 3층 동도금 공정라인 디-스미어 4호기에서 이상반응으로 인해 화재발생 추정,시설 결함,화재,황산,과산화수소,,0,0,0,0,,25672000
11,2014-011,2014-03-17,14:13:00,중앙바이오켐,충북 보은군 삼승면 우진리 532,충북,보은군,"200ℓ 폐드럼통에서 유증기와 냄새가 발생, 저장용기 하부 파손으로 약 1ℓ(추정) 폐액 누출사고",시설 결함,누출,폐액,,,0,0,0,0,,
12,2014-012,2014-03-25,18:30:00,에스에이치,대구  달서구 장기동 750-1,대구,달서구,20톤 폐산 보관탱크에 업체에서 수거한 폐산 약 2톤을 투입하는 과정에서 하부에 남아있던 슬러지(폐산)와 반응하여 흰색 기체 발생,안전기준 미준수,기타,폐산,,,0,0,0,0,,
13,2014-013,2014-03-27,15:49:00,LG화학(대전),대전  유성구 문지로 118 LG화학 기술연구원 특수파일럿동 실험실,대전,유성구,헥산을 분리하는 과정 중 내부에 정체되어있던 인화점이 낮은 가연성 헥산 가스가 환기시설 불량에 의해 폭발한 것으로 추정,시설 결함,폭발,헥산,,,0,0,0,0,,
14,2014-014,2014-03-28,08:00:00,알파켐,경기 수원시 영통구 신원로 261,경기,수원시 영통구,"폐아세트산을 철성분이 있는 폐기통에다 붓는 과정에서 철성분과 반응하여 폐기통이 일부 파손, 이로 인해 폐아세트산이 약 30-50리터 유출",시설 결함,누출,아세트산 납,,,0,0,0,0,,
15,2014-015,2014-03-29,20:30:00,신화인터텍,충남 천안시 동남구 병천면 매봉로 308,충남,천안시 동남구,"광학필름 등을 제조하는 생산라인에서 원인미상(정전기 추정)의 화재로 인해 공정내부에 남아있던 톨루엔, MEK 일부 소사",시설 결함,화재,톨루엔,MEK,,0,0,0,0,,180000
16,2014-016,2014-04-03,04:20:00,삼주,경기 시흥시 정왕동 1375-12,경기,시흥시,식각액 제조 과정 중 pH조절을 위해 차아염소산나트륨 투입과정에서 과반응으로 인해 차아염소산나트륨 약 50L 누출,시설 결함,누출,차아염소산나트륨,,,0,0,0,0,,
17,2014-017,2014-04-09,10:50:00,두산바이오텍,전북 익산시 석암로11길(제2산업단지 내),전북,익산시,"PS-20 물질을 제조하기 전에 탱크 청소를 위해 헥산 40ℓ와 에탄올 10ℓ를 50도로 가온, 1시간 교반하여 빼내는 작업을 실시하는 작업 중 폭발사고 발생",안전기준 미준수,폭발,헥산,에탄올,,0,0,1,0,,49000
18,2014-018,2014-04-15,10:18:00,두루케미칼,경기 안산시 단원구 초지동 652-9,경기,안산시 단원구,우레탄수지 생산동 반응기 혼합과정에서 발생한 유증기에 의한 폭발 추정(유독물 유출없음),안전기준 미준수,폭발,유증기,,,1,0,2,0,,240000
19,2014-019,2014-04-18,04:17:00,애경유화,경북 상주시 낙동면 중부내륙고속도로 상행 139km지점,경북,상주시,"㈜애경유화에서 출발한 페인트 원료 수지(무수프탈산, 무수마레인산) 운송차량이 타이어 과열로 인한 적재물(21톤) 화재 발생",운송차량,화재,무수프탈산,무수마레인산,,0,0,0,0,,29600
20,2014-020,2014-04-22,10:30:00,,경기 안산시 단원구 성곡동 오스람삼거리 부근,경기,안산시 단원구,‘14. 4. 22(화) 10:30경 오스람삼거리 부근에서 액상물질을 싣고 가던 차량에서 적재화물(보관용기 말통 3개)가 도로상으로 떨어지면서 액상물질 유출,운송차량,누출,미상물질(액체),,,0,0,0,0,,
21,2014-021,2014-04-25,12:49:00,가천대학교,경기 성남시 수정구 성남대로 1342 가천대학교 새롬관 1층 실험실,경기,성남시 수정구,질산(4리터)가 담긴 유리용기를 빈 용기로 옮기던 중 비어있는 용기 내부의 미상물질(이소프로필 알콜)로 인해 이상반응으로 유리용기가 파손되어 누출된 것으로 추정,안전기준 미준수,기타,질산,이소프로필알콜,,0,0,3,0,,
22,2014-022,2014-05-08,17:09:00,연세대학교,서울 서대문구 신촌동 연세대학교 GS산학관 4층 소재합성연구실,서울,서대문구,연세대학교 GS산학관 4층 소재합성연구실에서 실험 후드내에서 그라핀옥사이드 제조 실험 중 원료물질인 질산(1리터 추정)이 원인미상의 발화·폭발,안전기준 미준수,폭발,질산,,,0,0,0,0,,
23,2014-023,2014-05-08,18:34:00,SK케미컬,울산 남구 황성동 600번지 ㈜에스케이케미컬 울산광역시공장,울산,남구,㈜에스케이케미컬 사업장에서 염화메틸렌을 이용하여 감압정제유 탱크(100만 리터) 세척 작업 중 근로자 3명이 질식한 사고,안전기준 미준수,누출,다이클로로메탄,,,0,0,3,0,,
24,2014-024,2014-05-12,14:57:00,LG화학(나주),전남 화순군 이양면 매정리 쌍봉교차로,전남,화순군,"LG화학나주공장에서 광양컨테이너 부도로 향하던 트레일러(DOP 20톤, 플렉시백)가 신호대기 중인 트럭(5톤)를 뒤에서 추돌하여 DOP(500L 추정) 및 유류(경유, 엔진오일) 유출",운송차량,누출,DOP(디옥틸프탈레이트),,,0,0,0,0,수계일부 유출,
25,2014-025,2014-05-16,05:00:00,지엠이앤씨,경북 성주군 성주읍 성주산업단지로1길 102 ㈜지엠이앤씨 매립장(돔),경북,성주군,5.15일 16시경 입고된 알루미늄 분진 100톤 중 안정화되지 않은 분진(약 3.5톤)이 기존 폐기물의 수분 및 결로로 인한 수분과 반응하여 연기 발생,안전기준 미준수,기타,알루미늄,,,0,0,0,0,,
26,2014-026,2014-05-19,18:29:00,그래핀올㈜,경기 수원시 고색동 958,경기,수원시 권선구,"아파트형 공장인 수원벤쳐밸리내 그래핀올(주) 실험실에서 강황산이 누출되어 40대 1명이 전신에 3도 화상을 입어 아주대학교병원으로 긴급 후송, 실험 중 황산(5리터 시약병에 2.4리터 잔존)이 옷에 튀면서 화재발생, 물로 소화하면서 화상발생",안전기준 미준수,누출,황산,,,0,0,1,0,,
27,2014-027,2014-05-20,01:30:00,램테크놀러지㈜,충남 금산군 군북면 조정리 300 램테크놀러지㈜,충남,금산군,"질산저장탱크의 이송펌프 레벨센서 오작동으로 공업용 질산(70%) 100 리터가 유출되는 사고가 발생하였으며, 작업자가 보호장구 미착용 상태로 밸브를 잠근 후 미끄러져 전신에 화상을 입는 사고발생(상해 6주 진단)",시설 결함,누출,질산(70%),,,0,0,1,0,,
28,2014-028,2014-05-20,11:30:00,청학2터널 공사현장,경기 남양주시 별내면 청학리 523-5 청학2터널 공사현장,경기,남양주시,공사현장에서 폐수처리를 위해 세워둔 FRP에 담겨진 황산 1톤이 작업자 실수로 넘어지면서 인근 집수조 등으로 유출 된 사고,안전기준 미준수,누출,황산,,,0,0,0,0,,
29,2014-029,2014-06-02,18:49:00,고려대학교,서울 성북구 정릉동 산1-2 고려대학교 실험실,서울,성북구,보건과학대학 호림관 3층 환경보건연구실(318호)에서 대학원생(3명)이 약품을 정리하던 중 질산통(4L)을 바닥에 떨어뜨려 흘린 것을 휴지로 닦아 폐기물처리통에 담아둔 것에서 발열하여 연기가 발생,안전기준 미준수,누출,질산,,,0,0,0,0,,
30,2014-030,2014-06-04,15:47:00,메디진,대전  유성구 전민동 461-1 한남대 대덕밸리캠퍼스 4층 ㈜메디진 실험실,대전,유성구,㈜메디진 실험실에서 유기화학물질 환원 실험 중 수소화붕소나트륨(NaBH4)와 삼불화초산(TFA) 합성과정에서 발생한 수소가 착화되어 폭발,안전기준 미준수,폭발,수소화붕소나트륨,삼불화초산,,0,0,1,0,,
31,2014-031,2014-06-09,18:30:00,우향전자,경북 구미시 산동면 봉산리 421 우향전자,경북,구미시,"우향전자 내 금형 세척작업 중 작업자 부주의로 디클로로프로판과 수증기, 알루미늄 금형의 화학반응으로 연기 및 악취 발생으로 인근 공장에서 신고",안전기준 미준수,기타,디클로로프로판,알루미늄,,0,0,0,0,,
32,2014-032,2014-06-12,14:32:00,코스모화학,울산 울주군 원봉로 55,울산,울주군,출하장 내 황산 적재 탱크로리에서 타 탱크로리로 황산 이송 작업 중 이송배관 탈락(탱크로리 상부 맨홀에 배관을 줄로 고정)으로 황산(98%)이 누출(10리터 추정)되어 화상 환자 1명 발생,안전기준 미준수,누출,황산,,,0,0,1,0,,
33,2014-033,2014-06-16,13:17:00,,경기 화성시 매송면 송라리 매송 IC인근,경기,화성시,"화학혼합물 적재 차량에서 적재용기 낙하로 인해 화학혼합물(에틸아세테이트 75%, 페놀 25%)이 누출된 사고(약 30L 추정) ",운송차량,누출,에틸아세테이트,페놀,,0,0,0,0,,
34,2014-034,2014-06-29,18:57:00,동양페인트,경기 수원시 영통구 매탄동 130-63,경기,수원시 영통구,"페인트 가게에서 질산(200ml), 염산(100ml) 혼합작업 중 이상 화학반응 발생",안전기준 미준수,기타,질산,염산,,0,0,0,0,,
35,2014-035,2014-06-30,09:57:00,고물상,경기 안산시 장상동 35-113,경기,안산시 상록구,"고물상 자체진화 화재 현장 확인 중 화재로 인하여 염산(36%) 20ℓX5통, 과산화수소(35%) 20ℓX3통 유출",안전기준 미준수,누출,염산,과산화수소,,0,0,0,0,,
36,2014-036,2014-07-03,11:30:00,경인지방식품의약품안전청,인천 남구 주안로 137(주안동) 경인지방식품의약품안전청 시험분석센터 1층,인천,남구,연구실험용 질산(70 %) 5 kg X 8을 카트를 사용하여 이동 중 엘리베이터와 지면폼에 카트바퀴가 걸려 넘어지면서 8개중 2개 파손유출(바닥유출량: 5 kg 추정),안전기준 미준수,누출,질산,,,0,0,1,0,,
37,2014-037,2014-07-03,13:30:00,,대전  대덕구 대화동 천변도시고속화도로,대전,대덕구,"5톤 가성소다 탱크로리 전복으로 호스 연결부위가 분리되면서 가성소다(25 %) 약 1톤이 누출, 갑천 둔지(자전거도로)유입",운송차량,누출,가성소다,,,0,0,0,0,,
38,2014-038,2014-07-04,10:08:00,아이오란타호,부산  서구 원양로 171 감천3부두 인성글로벌냉장 옆,부산,서구,"정박중인 러시아선박(아이오란타, 1920톤)내 냉매용 암모니아 가스가 배관에서 누출(약 50Kg)된 사고 ",안전기준 미준수,누출,암모니아,,,0,0,0,0,,
39,2014-039,2014-07-10,19:10:00,레이크머티리얼즈,세종 전의면 신정리 638 산업단지,세종,전의면,TESO(제4류 2석유류) 물질의 수분제거 과정인 액상나트륨을 배관을 통해 투입하던 중 노즐 내 수분과 반응하여 폭발한 사고,안전기준 미준수,폭발,나트륨(액상),,,0,0,2,0,,363
40,2014-040,2014-07-11,16:50:00,,경기 영동고속도로 용인휴게소(강릉방향)인근,경기,용인시 처인구,"빈 탱크로리 운반트럭(4.5톤)이 영동고속도로 용인휴게소에서 고속도로 합류지점으로 이동 중 배관의 호스가 풀리면서 배관 내 잔류 암모니아수 유출사고 발생, 경상 2명(눈 따가움, 속 울렁거림), 현장 응급조치 후 귀가",운송차량,누출,암모니아,,,0,0,2,0,,
41,2014-041,2014-07-12,19:21:00,태양수산,경남 창원시 마산합포구 구산면 수정1길 131,경남,창원시 마산합포구,"태양수산 내 냉동창고 배관 절단 작업 중 1cm정도 파손으로 암모니아 누출사고 발생(1kg의 압력으로 암모니아 가스 누출), 인명피해 없음",안전기준 미준수,누출,암모니아,,,0,0,0,0,,
42,2014-042,2014-07-13,07:58:00,재윤상사 1공장,경기 시흥시 정왕동 경제로 271번지 재윤상사 1공장,경기,시흥시,재윤상사 옥내보관창고에 보관중인 질산 1톤 용기(보관량 500리터)가 경화현상으로 파손되어 약 20리터(추정) 유출,시설 결함,누출,질산,,,0,0,0,0,,
43,2014-043,2014-07-13,20:49:00,경인CNI(구 부경냉장),경북 포항시 남구 구룡포리 949-21,경북,포항시 남구,"경인 CNI 사업장 내에서 냉장용 냉매를 가동하기 위해 암모니아 가스를 사용한 후 밸브 패킹 노후로 인해 암모니아 가스 소량 누출, 이후 인근 주민의 신고로 사고사실을 인지하여 암모니아 밸브 차단 및 노후패킹 교체",시설 결함,누출,암모니아,,,0,0,0,0,,
44,2014-044,2014-07-15,11:15:00,대덕지디에스,경기 안산시 목내동 475번지 대덕지디에스,경기,안산시 단원구,"차량에서 보관창고 내 전용박리액 저장용기(1m3)로 주입작업 중 커플링 이탈로 사업장 바닥에 50리터 유출, 유출된 박리액이 작업중이던 외주업체 직원 안면부에 묻어 고대병원 이송",시설 결함,누출,박리액,,,0,0,1,0,,
45,2014-045,2014-07-16,16:00:00,,경기 이천시 영동고속도로 인천광역시방향 77km(이천IC~호법분기점),경기,이천시,"영동고속도로 인천방향 77km(이천IC ~ 호법분기점)에서 운송차량이 복합산(세관제), 복합알카리(방청제) 물질을 운반 중 가드레일에 충돌하여 낙하된 말통(20kg짜리) 중 약 3통이 파손되어 바닥에 미량 유출",운송차량,누출,방청제,세관제,,0,0,0,0,,
46,2014-046,2014-07-17,02:24:00,현대중공업 음성공장,충북 음성군 소이면 대장리 1,충북,음성군,현대중공업 셀 제2공장 1층에서 식각설비 내 전세정공정에 사용되는 암모니아수(25%~28%)가 플랜지와 배관 연결 부위에서 리크가 발생하여 약 0.3리터 ~ 0.5리터 누출된 사고 ,시설 결함,누출,암모니아수,,,0,0,0,0,,
47,2014-047,2014-07-17,07:15:00,,경기 오산시 원동 757-21 쉐보레 오산대리점 앞,경기,오산시,경기 오산시 도로상에서 운송차량에 적재된 초산이 도로상으로 유출 된 사고 ,운송차량,누출,초산,,,0,0,0,0,,
48,2014-048,2014-07-17,15:40:00,돼지농장,경기 김포시 월곶면 갈산리 40-1,경기,김포시,돼지농장에서 보관중인 염산(300리터 추정) 보관용기에 균열이 발생하여 하얀 연기발생(외부유출 없음) ,시설 결함,누출,염산,,,0,0,0,0,,
49,2014-049,2014-07-17,19:45:00,한양에이스호,울산 남항 4부두 2선석,울산,남구,"지상에서 부두에 정박해 있는 유조선으로 황산-질산 혼합물(질산 80%) 선적중 수송관 리크로 폭발 후 다량의 연기발생 * 선박 : 한양에이스호(1,593톤, 유조선), 적재물(질산, 황산 혼합물)동부팜한농에서 유조선으로 배관내 이송작업중 폭발",시설 결함,폭발,황산,질산,,0,0,0,0,,
50,2014-050,2014-07-18,09:53:00,,경기 화성시 제2서해안고속도로 송산마도IC에서 시흥방향 23km지점,경기,화성시,"23톤 탱크로리차량 상부에 손가락만한 구멍이 생겨 염산 일부가 유출되어 유증기 발생, 인명피해 없음",운송차량,누출,염산,,,0,0,0,0,,
51,2014-051,2014-07-21,21:57:00,전영,충남 당진시 합덕읍 도곡리 106-22(합덕산업단지 내),충남,당진시,"황산, 질산, 불산 등 화학물질 배합 중 발열반응으로 인해 화재 발생, 인명피해 없음",안전기준 미준수,화재,황산,질산,불산,0,0,0,0,,
52,2014-052,2014-07-23,15:14:00,,경기 안산시 단원구 신길동 남안산IC인근 만해주유소 부근,경기,안산시 단원구,"남안산IC 인근 밭에 말통에서 원인미상의 냄새가 난다는 밭 주인의 신고로 소방서에서 출동, 20L 말통을 밀봉하여 이송처리(몇 일전 고속도로에서 IC로 내려오는 트럭에서 원심력으로 말통이 낙하된 상태), 인명피해 없음 ※ 신고물질 : 염산 35%(유독물, 사고대비물질)",운송차량,누출,염산,,,0,0,0,0,,
53,2014-053,2014-07-23,18:50:00,하남전기,"광주 광산구 하남동 501-4, 하남산단",광주,광산구,"세탁기 부품의 결함확인을 위해 질산용기(약 1.5L추정)에 알루미늄 부품을 담궈 실험중 적갈색의 연기발생, 인명피해 없음",안전기준 미준수,기타,질산,알루미늄,,0,0,0,0,,
54,2014-054,2014-07-25,13:59:00,LG화학(서산),충남 서산시 대산읍 대죽리 679-10 엘지화학 대산공장,충남,서산시,"반응기 촉매 배관 플랜지에서 촉매(n-Henxane 85%, n-Butyl Litium 15%) 누출로 인한 자연발화로 추정",시설 결함,화재,n-Hexane,n-Butyl Litium,,0,0,0,0,,
55,2014-055,2014-07-31,16:13:00,여수해양조선소,전남 여수시 돌산읍 우두리 748,전남,여수시,"전남 여수시 돌산읍 소재 ㈜여수해양조선소 내 도크위에서 참치 원양어선(1,102톤) 선박 수리 작업 중 참치 냉동용으로 사용하는 암모니아 용기 50kg짜리 15개 중 1개가 파손되어 가스 누출",시설 결함,누출,암모니아,,,1,0,19,0,,
56,2014-056,2014-08-01,19:57:00,세계로케미칼,경기 화성시 마도면 송정리 328-11,경기,화성시,"화공약품 생산업체인 케미칼공장에서 가성소다 등 화학물질 약 6,000포를 쌓아놓은 야적장에 원인미상의 화재 발생",시설 결함,화재,가성소다,,,0,0,1,0,,50000
57,2014-057,2014-08-02,19:02:00,동인산업,경기 시흥시 정왕동 1357-3,경기,시흥시,황산(98%)을 보관하는 옥외저장탱크(용량 20톤)의 배출 밸브 균열로 소량의 황산 유출(소방추산 5리터 이하),시설 결함,누출,황산,,,0,0,0,0,,
58,2014-058,2014-08-05,15:18:00,서울대학교,서울 관악구 봉천동 서울특별시대학교 자연대 물리학부 22동 221호,서울,관악구,서울대학교 자연대 물리학부 실험실 내 오래전부터 보관한 시약병이 파손되어 시약병 내에 있던 바륨옥사이드 500ml 유출,안전기준 미준수,누출,바륨옥사이드,,,0,0,0,0,,
59,2014-059,2014-08-05,17:02:00,,서울 종로구 종로4가 141-1번지 도로변 탑차,서울,종로구,탑차(1톤) 화물칸에 실린 질산 저장용기(20리터 중 1~2리터) 유출된 사고,운송차량,누출,질산,,,0,0,0,0,,
60,2014-060,2014-08-19,14:20:00,한일종합물류,인천 서구 왕길동 185번지,인천,서구,지하탱크(100톤)에 보관 중인 초산비닐이 반응하여 외부로 누출,시설 결함,누출,초산비닐,,,0,0,7,0,하천유출 및 농작물 고사,
61,2014-061,2014-08-21,10:53:00,,경기 성남시 중원구 성남동 4146 모란사거리,경기,성남시 중원구,"질산 말통을 실은 운반차량(용달차)이 운행 중 말통 일부분이 파손되어 질산이 소량 유출된 사고, 인명피해 없음",운송차량,누출,질산,,,0,0,0,0,,
62,2014-062,2014-08-21,13:22:00,한국나노기술원,경기 수원시 영통구 이의동 906-10 한국나노기술원 2층,경기,수원시 영통구,"한국나노기술원 2층 연구소에서 황산 및 과산화수소 혼합액(렌즈 크리닝제) 약 1.5리터 가량을 폐기처리 중 혼합액이 작업자에게 튄 사고, 부상 1명(2도 화상) 발생",안전기준 미준수,누출,황산,과산화수소,,0,0,1,0,,
63,2014-063,2014-08-21,21:30:00,수협 감천항 물류센터,부산  서구 암남동 수협 감천항 물류센터,부산,서구,"원인미상으로 냉매용 암모니아 가스가 미량 누출,인명피해 없음",시설 결함,누출,암모니아,,,0,0,0,0,,
64,2014-064,2014-08-22,08:18:00,AID(전자회로기판제조),인천 남동구 남동동로 198번길 21 남동공단 76블럭 15로트 AID(전자회로기판제조),인천,남동구,"전자회로기판 제조업체(에이아이디)에서 염소산나트륨 충전 중 가스 누출, 직원의 작업과실로 염소산나트륨이 폐액저장조로 흘러들어 이상 반응 발생, 인명피해 22명",안전기준 미준수,누출,염소산나트륨,,,0,0,22,0,,
65,2014-065,2014-08-22,09:20:00,화인알텍 2공장,경북 칠곡군 왜관읍 금산리 973-19 ㈜화인알텍 2공장,경북,칠곡군,"㈜화인알텍 2공장 옥내 사업장에서 염산 저장탱크(1,000L)에 작업자 낙하 물건으로 인해 배관 파손으로 염산 유출(200L 추정), 인명피해 경상 10명(가스 소량흡입)",안전기준 미준수,누출,염산,,,0,0,10,0,,
66,2014-066,2014-08-22,11:30:00,,경기 제2경인고속도로 광명터널 내(광명IC>안양방향),경기,광명시,"화물차량(1톤) 충돌사고로 운반중인 염산 등이 도로상으로 낙하, 염산 및 메탄올이 용기 파열로 소량 유출(약 10L 추정), 인명피해 없음",운송차량,누출,염산,메탄올,,0,0,0,0,,1000
67,2014-067,2014-08-24,09:25:00,램테크놀러지㈜,충남 금산군 군북면 조정리 300 램테크놀러지㈜,충남,금산군,사업장 내 보관저장 창고에서 이동형 무수불산 탱크로리 교체 작업 중 미량의 무수불산 누출된 사고(관계기관 회의결과 누출량 약 7.2kg 추정) 인명피해 7명 경상(구토 및 호흡기 이상),안전기준 미준수,누출,플루오르화수소,,,0,0,0,0,,
68,2014-068,2014-08-25,14:33:00,기타(가정집),대구  동구 효목2동 388-122,대구,동구,가정집에서 청소용으로 염산 사용 중 눈과 입에 소량 누출,안전기준 미준수,누출,염산,,,0,0,1,0,,
69,2014-069,2014-08-26,12:49:00,일성화학,인천 남동구 남촌동 621-1,인천,남동구,염소탱크 4기 중 1기(1ton)를 사용하여 염소와 염화제일철을 반응시켜 염화제이철을 생산하던 중 반응기 배관의 과압된 염소가스가 누출됨 인명피해 없음,안전기준 미준수,누출,염소,염화제일철,,0,0,0,0,,
70,2014-070,2014-08-27,13:36:00,경인양행,경기 안산시 단원구 원시동 785-7 ㈜경인양행,경기,안산시 단원구,"사업장내 이송배관에서 클로로설폰산이 약 1리터 가량 누출되면서 물과 반응하여 흰 연기 발생, 인명피해 없음",시설 결함,누출,클로로설폰산,,,0,0,0,0,,
71,2014-071,2014-08-27,14:21:00,엑스포정공,전남 여수시 월하동 562-23 엑스포정공,전남,여수시,"탱크로리 차량 정비 업체인 엑스포정공에서 차량 수리 작업 중 차량상부 뚜껑을 통해 메틸아크릴레이트 냄새 발생, 인명피해 없음",안전기준 미준수,누출,메틸아크릴레이트,,,0,0,0,0,,
72,2014-072,2014-08-28,20:55:00,,대구  북구 읍내동 1308번지 온누리교회 앞 인도와 차도사이,대구,북구,"온누리교회 앞 인도와 도로사이 염산 소량누출(5리터, 소방)",운송차량,누출,염산,,,0,0,0,0,,
73,2014-073,2014-08-29,14:53:00,중앙산업가스,대전  대덕구 읍내동 450-25번지 ㈜중앙산업가스,대전,대덕구,상기장소에서 원인을 알 수 없는 이유로 사업장 내 봄베(47L)에서 염화수소가 미량 누출 된 사고,시설 결함,누출,염화수소,,,0,0,0,0,,
74,2014-074,2014-08-30,10:08:00,둔산여고,대전  서구 갈마동 823번지 둔산여고 1층 실험실,대전,서구,"실험실 내 약품준비실의 표본 유리용기(폼알데하이드 성분)을 학생이 지나가다가 건드려 떨어져 깨지면서 약 1리터 정도 누출, 인명피해 없음",안전기준 미준수,누출,폼알데하이드,,,0,0,0,0,,
75,2014-075,2014-08-31,06:42:00,에프엔지리서치,충남 홍성군 광천읍 신진리 593 ㈜에프엔지리서치,충남,홍성군,"㈜에프앤지리서치에서 OLED액정 발광물질 제조를 위한 무수초산과 질산(10:1)의 혼합과정 중에 반응조에서 발열작용에 의한 초산가스의 압력 상승으로 압력 밸브가 개폐되어 질산 및 초산가스(15kg 추정) 누출(인명피해 부상 6명, 경상)",시설 결함,누출,질산,초산,,0,0,6,0,,
76,2014-076,2014-09-01,07:50:00,,경북 상주시 낙동면 내곡리 498-7 중부내륙고속도로 마산방면 140.8km지점(성주IC-낙동분기점),경북,상주시,1톤 유독물 운반차량 타이어 펑크로 중앙분리대를 추돌하여 적재되어 있는 염산 (35%) 8통 중 2통(40리터)이 도로에 낙하하여 염산 일부가 유출된 사고(인명피해 교통사고로 인한 부상 2명),운송차량,누출,염산,,,0,0,0,0,,
77,2014-077,2014-09-02,17:23:00,노루페인트,경기 안양시 만안구 박달로 351(박달동) ㈜노루페인트,경기,안양시 만안구,"사업장 내에서 생산 반응기 작업 중 냉각기의 이상으로 반응기가 가열되자 현장근무자가 물을 부어 임시조치 중 증기 누출(흰 연기 및 악취 발생)구급차 이송환자(개별포함) 현황 확인 부상 60명, 퇴원(안양소방서)*증상 : 두통, 오심, 구토, 눈 따가움 등※비스페놀A 중합체(CAS No. 25036-25-3) : 98%, 트리스2,4,6 페놀    (CAS No. 90-72-2) : 1.5%, 메톡스페놀(CAS No. 150-76-5) : 0.5%",시설 결함,누출,비스페놀A중합체,"2,4,6-트리스페놀",메톡스페놀,0,0,60,0,,
78,2014-078,2014-09-03,20:01:00,이화여대,서울 서대문구 이화여대길 52 이화여자대학교,서울,서대문구,이화여자대학교 실험실에서 작업자 부주의로 인해 트리메틸아민 250㎖누출,안전기준 미준수,누출,트리메틸아민,,,0,0,0,0,,
79,2014-079,2014-09-04,17:04:00,이화여대,서울 서대문구 대현동 11-8 이화여대 종합과학관 C동,서울,서대문구,이화여자대학교 실험실에서 질산용기(1리터 유리병)에 금이 가 일부 유출,시설 결함,누출,질산,,,0,0,0,0,,
80,2014-080,2014-09-10,08:47:00,복영냉동,충남 서천군 장항읍 장산로 306-15 복영냉동,충남,서천군,냉동창고에서 암모니아 배관 노후로 인해 20~30kg(추정) 가스 누출,시설 결함,누출,암모니아,,,0,0,0,0,,
81,2014-081,2014-09-11,11:30:00,한솔테크닉스㈜,충북 진천군 덕산면 한삼로 55 한솔테크닉스㈜,충북,진천군,"충북 진천군 한솔테크닉스(주)에서 반도체 웨이퍼(반도체 기판세정) 작업 중 암모니아수(물 99%, 용질 1%) 5리터가 누출되어 현장작업중인 16명 중 8명이 익일 09. 12 13:00경 두통호소하여 승용차를 이용, 진천성모병원에서 진료와 약처방 후 20:00경 전원 퇴원함",시설 결함,누출,암모니아수,,,0,0,8,0,,
