주소,취약지역유형,관리주체,소유별,면적(제곱미터),거리(미터),취약지역지정사유,데이터기준일자
경상북도 포항시 북구 기북면 관천리 산31,토석류,포항시,사유림,206,1648.11,"유역면적이 비교적 넓고 계류 내 월류 흔적이 관찰되며, 돌쌓기는 일부 파손되었고 계안 붕괴지가 관찰됨. 계상에 토사유실 및 유동가능 토석이 다수의 구간에서 관찰되어 호우 시 하부 피해 우려됨.",2026-04-07
경상북도 포항시 북구 기북면 용기리 산18,토석류,포항시,사유림,239,2903.98,"유역면적이 상당히 넓고 계류의 총길이는 길며, 계류 내 토사유실 및 다양한 입경의 석력이 적치되어 있어 호우 시 하부 피해 우려됨.",2026-04-07
경상북도 포항시 북구 기북면 용기리 산52,토석류,포항시,사유림,428,2274.43,"계류 내 다수의 구간에서 전석과 침식이 관찰되며, 수목전도 및 바닥세굴이 발견됨. 계류 내 전반적으로 토석류가 발생하였고 경사도 또한 급한편으로 우천시 산사태 발생 우려됨.",2026-04-07
경상북도 포항시 북구 기북면 오덕리 1246-87,토석류,포항시,사유림,438,0,"계류의 종단물매가 급하고, 계류내 일부구간 계안의 침식으로 인한 수목의 뿌리노출이 관찰되고, 조사구간 전구간에 걸쳐 자갈, 돌, 전석 등의 퇴적물이 다수 존재하여 집중호우시 하부 인가의 피해가 우려됨.",2026-04-07
경상북도 포항시 북구 기북면 오덕리 1246-1,토석류,포항시,사유림,182,0,계류 하부에 인가가 위치하고 계류 내 전석과 침식이 관찰되며 토석류흔적이 관찰됨. 수목전도 또한 발견되고 계류 평균경사도 급해 우천시 산사태 발생 우려됨.,2026-04-07
경상북도 포항시 북구 기북면 오덕리 516,토석류,포항시,사유림,207,0,계류내 침식과 전석이 발견되고 계류폭이 좁으며 수목전도가 관찰됨. 토석류 유동   흔적이 있으며 경사가 있어 우천시 산사태 발생 우려됨. ,2026-04-07
경상북도 포항시 북구 기계면 지가리 산19,토석류,포항시,사유림,1011,0,"조사구간 전구간에 걸쳐 침식이 관찰되고, 다수의 구간에서 퇴적지가 관찰되며, 수목의 전도가 다수 관찰되며, 일부구간 계안의 붕괴가 관찰됨.",2026-04-07
경상북도 포항시 북구 기계면 학야리 1057,토석류,포항시,사유림,257,0,계류구간 중간부까지 다수의 침식이 관찰되고 토사유실이 진행중으로 집중호우시 피해 가능성 있음. ,2026-04-07
경상북도 포항시 북구 기계면 계전리 822,토석류,포항시,사유림,228,1453.46,"다수의 구간에서 침식이 관찰되고 계상퇴적지가 있으며, 저수지 월류로 인한 둑 하부 일부 붕괴 관찰.",2026-04-07
경상북도 포항시 북구 기계면 학야리 산7-1,토석류,포항시,사유림,2271,180,"본 대상지는 학야리 마을 배후 산지계류이며, 주변으로 농경지가 위치한 산지계류로 지속적인 토석류의 유출이 발생하고 있는 지역임 계상에 다량의 석력, 등이 적체되어 있고 산지사면에서 붕괴지가 발생함에 따라 산지재해 발생가능성이 있는 지역으로 지정ㆍ심의 상정 대상지로 선정하였음",2026-04-07
