주소,취약지역유형,관리주체,소유별,면적(제곱미터),거리(미터),취약지역지정사유,데이터기준일자
경상북도 포항시 남구 오천읍 갈평리 산65,토석류,포항시,사유림,205,1400,"토심이 깊고, 일부구간 침식으로 인한 토사유출이 진행중이며, 유출된 토사가 계상에 퇴적되어 있음.",2026-04-07
경상북도 포항시 남구 오천읍 갈평리 산79,토석류,포항시,사유림,64,2100,"계안의 침식이 활발하며 계류 내 토사유실 및 전석 퇴적이 관찰되고, 계상에 유수의 흐름을 방해하는 유목이 다수 존재하여 호우 시 피해 우려됨.",2026-04-07
경상북도 포항시 남구 오천읍 진전리 산22,토석류,포항시,사유림,201,0,종단물매가 매우 급하며 계류 내 전구간에서 침식 및 유동가능 전석이 관찰되어 호우시 피해 우려됨.,2026-04-07
경상북도 포항시 남구 오천읍 진전리 산38-2,토석류,포항시,사유림,162,2400,"계류의 종단 물매가 급하고, 다발성 붕괴 및 침식으로 인한 심각한 토사유출이 진행중임.",2026-04-07
경상북도 포항시 북구 흥해읍 죽천리 104,산사태,포항시,사유림,634,0,"사면의 경사가 급하고, 침식으로 인한 토사유출이 지속적으로 진행되고 있으며, 토사유출로 인한 주민의 불안 호소",2026-04-07
경상북도 포항시 남구 장기면 정천리 산259,토석류,포항시,사유림,349,0,계류 내 침식으로 인한 토사유실이 상당하며 수목전도로 인한 유수의 흐름이 방해되는 구간이 있으며 유동가능 전석이 관찰되어 호우시 피해 우려됨. ,2026-04-07
경상북도 포항시 남구 동해면 금광리 930,토석류,포항시,사유림,40,0,"계류 내 전석, 토사유실, 수목전도가 관찰되고 종단물매가 비교적 급하며 인가와의 이격거리가 짧아 호우시 피해 우려됨.",2026-04-07
경상북도 포항시 남구 장기면 정천리 산56,토석류,포항시,사유림,347,0,계류 내 전 구간에서 침식이 현저하며 수목전도와 유동가능 전석이 관찰되어 호우시 하부 피해 우려됨.,2026-04-07
경상북도 포항시 남구 장기면 죽정리 산274,산사태,포항시,사유림,850,0,사면하부 다수의 구간에서 침식으로 인한 토사유출이 심각하게 진행중임,2026-04-07
경상북도 포항시 남구 장기면 정천리 산43,토석류,포항시,사유림,252,0,"계류 내 다수의 구간에서 침식이 관찰되고 일부 유동가능 전석이 관찰되며, 계류폭이 좁고 V형 계곡의 형태를 띄고 있어 호우시 범람 피해 우려됨.",2026-04-07
경상북도 포항시 남구 장기면 대곡리 717,토석류,포항시,사유림,357,0,"계류내 토석류 유동흔적이 관찰되고, 경작지 계안의 피해로 인한 톤백 시설 이력이 있고, 계안의 침식과 붕괴로 인한 토사유출이 상당히 진행중인 계류임.",2026-04-07
경상북도 포항시 남구 장기면 대곡리 산179,토석류,포항시,사유림,385,0,"일부구간 계안의 침식으로 인한 토사유출이 진행중이고, 계상에 다량의 계류내 다량의 자갈, 돌 등의 퇴적물이 관찰되어 집중호우시 하부의 피해가 우려됨.",2026-04-07
경상북도 포항시 남구 장기면 방산리 산115,토석류,포항시,사유림,404,0,"조사구간 전구간에 걸쳐 토석류 유동흔적이 관찰되고, 집중호우시 수차례 피해 이력이 있으며, 계안의 침식으로 인한 토사유출이 진행중이며, 계상에 다량의 돌, 전석 등의 퇴적물이 관찰되어 집중호우시 하부의 피해가 우려됨.",2026-04-07
경상북도 포항시 남구 장기면 학곡리 산99,산사태,포항시,사유림,1318,300,"사면이 높고, 다수의 구간 사면하부에 침식으로 인한 토사유출이 상당히 진행중임.",2026-04-07
경상북도 포항시 남구 동해면 상정리 1128,토석류,포항시,사유림,90,0,계류 내 다수의 구간에서 침식이 관찰되고 유수의 흐름을 방해하는 유송잡물이 관찰되며 계상 퇴적지 또한 존재해 호우시 하부로 일시에 이동할 경우 피해 우려됨.,2026-04-07
경상북도 포항시 남구 동해면 상정리 산7,산사태,포항시,사유림,474,0,"사면의 길이가 길고, 경사가 비교적 급하며, 일부구간 사면하부의 침식으로 인한 토사유출이 지속적으로 진행되고 있음",2026-04-07
경상북도 포항시 남구 장기면 수성리 920-1,토석류,포항시,사유림,41,0,계류 내 침식구간이 많고 인가와 경작지가 인접해 있어 호우시 피해 우려됨.,2026-04-07
경상북도 포항시 남구 장기면 금곡리 산98,산사태,포항시,사유림,318,200,"인가 배후 사면 하부의 돌쌓기가 일부 붕괴되어 있으며, 일부구간 사면하부의 침식으로 인한 토사유출이 진행중임.",2026-04-07
경상북도 포항시 남구 장기면 양포리 591-1,토석류,포항시,사유림,434,0,계류총길이가 길고 계류 내 전석 및 침식이 활발하여 호우시 하부 피해 우려됨.,2026-04-07
경상북도 포항시 남구 장기면 양포리 591-1,토석류,포항시,사유림,218,0,계류 내 임시복구 흔적 있으며 계폭이 좁고 침식이 활발하여 토사유실로 호우시 피해 우려됨.,2026-04-07
경상북도 포항시 남구 장기면 신창리 산46,토석류,포항시,사유림,332,0,"계류 내 침식 및 토사유실, 유동가능 전석이 관찰되어 호우시 피해 우려됨.",2026-04-07
경상북도 포항시 남구 장기면 양포리 산9,산사태,포항시,사유림,1381,0,"일부구간 사면하부의 침식으로 인한 토사유출과 퇴적이 관찰되고, 주민의 강우시 낙석과 토사 피해 호소가 있음",2026-04-07
경상북도 포항시 남구 장기면 대진리 산31,산사태,포항시,사유림,783,0,"일부구간 돌쌓기가 붕괴중이며, 사면하부 다수의 구간에서 침식으로 인한 토사유출이 진행중임",2026-04-07
경상북도 포항시 남구 장기면 신창리 산25-1,산사태,포항시,사유림,1140,700,"사면의 경사가 급하고, 사면이 높으며, 일부구간 사면하부의 침식으로 인한 토사유출이 진행중이고, 수목의 뿌리가 노출되어 전도의 위험성이 있음.",2026-04-07
경상북도 포항시 남구 구룡포읍 구평리 산172,토석류,포항시,사유림,180,2276.18,"계류의 종단 물매가 급하고, 다수의 구간에서 침식 및 토사유실이 관찰되며, 계상에 전도목 및 유동가능 토석들이 적치되어 있어 호우 시 피해 우려됨.",2026-04-07
경상북도 포항시 남구 구룡포읍 후동리 산9-3,산사태,포항시,사유림,598,525.05,"사면 붕괴 피해 발생지이며, 사면의 경사가 매우 급하고, 사면 내 소계류가 존재하고, 일부구간 침식으로 인한 토사유출이 상당히 진행중임.",2026-04-07
경상북도 포항시 남구 구룡포읍 하정리 산191,토석류,포항시,사유림,331,1453.03,"유역면적이 아주 넓고 계류의 길이가 길며, 토석류 유동흔적이 관찰되고, 계류 내 다수의 구간에서 침식 및 토사유실이 관찰되고, 계상에 유동가능 토석들이 불안정하게 적치되어 있어 호우 시 피해 우려됨.",2026-04-07
경상북도 포항시 남구 구룡포읍 눌태리 산70-2,산사태,포항시,사유림,629,300,"사면의 경사가 매우 급하고, 일부구간 침식으로 인한 토사유출이 관찰됨.",2026-04-07
경상북도 포항시 남구 호미곶면 대동배리 산3-2,산사태,포항시,사유림,1507,1700,"사면의 경사가 매우 급하고, 사면과 인가가 이격거리 없이 인접하고 있으며, 사면 상부에 지방도 성토사면이 존재하며, 일부구간 침식으로 인한 토사유출이 진행중임.",2026-04-07
경상북도 포항시 남구 구룡포읍 하정리 산48-2,토석류,포항시,사유림,136,1054.2,"계류 내 침식으로 인해 발생한 토사가 퇴적되어 있으며, 계류의 길이가 길고 계폭이 좁아 호우 시 인접한 사찰의 피해 우려됨.",2026-04-07
경상북도 포항시 남구 구룡포읍 병포리 산1-2,산사태,포항시,사유림,185,875.81,"사면의 경사가 매우 급하고, 사면의 침식에 의한 토사유출이 상당히 진행중이며, 배수시설의 미비로 인가로의 유수 유입이 있음.",2026-04-07
경상북도 포항시 남구 구룡포읍 병포리 산1-2,산사태,포항시,사유림,233,781.17,"사면의 경사가 매우 급하고, 사면 내 소계류가 존재하며, 일부구간 침식으로 인한 토사유출이 상당히 진행중임.",2026-04-07
경상북도 포항시 남구 구룡포읍 삼정리 산126-2,토석류,포항시,사유림,179,2115.94,"과거 월류 피해 이력이 있으며, 계류 내 붕괴지가 관찰되고, 전 구간에 걸쳐 침식 및 토사유실이 관찰되어 호우 시 피해 우려됨.",2026-04-07
경상북도 포항시 남구 호미곶면 대보리 산52-6,산사태,포항시,사유림,2242,0,"우축 사면내 일부구간에 유수로 인한 세굴이 관찰되고, 이로 인한 수목의 뿌리 노출이 관찰되며, 절취사면의 침식으로 인한 토사유출이 상당히 진행중임.",2026-04-07
경상북도 포항시 북구 죽장면 봉계리 산47,산사태,포항시,사유림,1497,0,"사면과 인가가 인접하고 있으며, 사면의 경사가 매우 급하고, 일부구간 사면하부 기반암의 이완암이 관찰됨",2026-04-07
경상북도 포항시 북구 죽장면 월평리 산62,산사태,포항시,사유림,882,600,"사면의 경사가 급하고, 사면과 인가가 매우 인접하고 있으며, 사면하부에 표층유실에 의한 토사유출이 진행중이고, 일부구간 사면하부 기반암의 균열로 인한 낙석이 관찰됨.",2026-04-07
경상북도 포항시 북구 죽장면 합덕리 산112,토석류,포항시,사유림,60,0,"계류내 토석류 유동흔적이 관찰되고, 일부구간 침식지가 관찰되며, 계상에 다량의 돌, 전석 등의 퇴적물이 관찰되어 집중호우시 하부의 피해가 우려됨.",2026-04-07
경상북도 포항시 북구 죽장면 합덕리 산123,토석류,포항시,사유림,36,0,"조사구간 전구간에 걸쳐 토석류 유동흔적이 관찰되고, 다수의 구간 계안에 침식지가 관찰되며, 계상에 다량의 자갈, 돌, 전석 등의 퇴적물이 관찰되어 집중호우시 하부의 피해가 우려됨.",2026-04-07
경상북도 포항시 북구 죽장면 합덕리 산142,토석류,포항시,사유림,142,0,"종단물매가 매우 급하고, 월류로 인해 하부 콘크리트수로가 막혀 과수원의 피해가 발생함.",2026-04-07
경상북도 포항시 북구 죽장면 합덕리 산128-2,토석류,포항시,사유림,32,0,"조사구간 전구간에 걸쳐 토석류 유동흔적이 관찰되고, 다수의 구간 계안의 침식으로 인한 토사유출이 진행중이며, 계상에 다량의 돌, 전석 등의 퇴적물이 관찰되어 집중호우시 하부의 피해가 우려됨.",2026-04-07
경상북도 포항시 북구 죽장면 합덕리 산226-1,토석류,포항시,사유림,865,0,"조사구간 일부구간에 계류의 월류 이력이 있어 긴급복구로 둑을 쌓고, 계상정리를 시행한 흔적이 관찰되고, 다수의 구간 계안에서 침식이 관찰되며, 수목의 전도가 다수 관찰되고, 조사구간 상부에 다량의 돌, 전석 등의 퇴적물이 관찰되어 집중호우시 하부의 피해가 우려됨.",2026-04-07
경상북도 포항시 북구 죽장면 방흥리 606-11,토석류,포항시,사유림,810,0,"유역면적이 크고, 계류내 토석류 피해로 인한 계상정리가 되어 있으며, 블록기슭막이를 시설함. 계류내 상당량의 돌이 퇴적되어 집중호우시 하부의 피해가 우려됨.",2026-04-07
경상북도 포항시 북구 죽장면 방흥리 531,산사태,포항시,사유림,1404,0,"산사태로 인한 피해이력이 있고, 사면내 용출수가 관찰되고, 표층유실 및 침식으로 인한 토사유출이 진행중임.",2026-04-07
경상북도 포항시 북구 죽장면 상사리 산113,토석류,포항시,사유림,101,3192.73,"유역면적은 비교적 작으나 급경사 계곡 내 침식지가 관찰되고, 계곡내 다수의 전석 등 골재가 퇴적되어 있어, 하부로 이동시 경작지의 피해가 우려됨.",2026-04-07
경상북도 포항시 북구 죽장면 합덕리 산217,토석류,포항시,사유림,566,0,계류내 사방사업이 시행된 대상지로 산사태 취약지역으로 지정하여 추후 피해여부를 모니터링하고자 함.,2026-04-07
경상북도 포항시 북구 죽장면 합덕리 산157,산사태,포항시,사유림,594,1710.38,"하부에 인가가 존재하고, 토심이 깊으며, 사면하부의 침식으로 인한 토사유출이 진행중이고, 유출된 토사가 하부에 퇴적되어 있으며, 집중호우 시 침식의 확대로 하부 인가의 피해가 우려됨.",2026-04-07
경상북도 포항시 북구 죽장면 합덕리 산157,토석류,포항시,사유림,218,1700,"계류의 종단 경사가 매우 급하고, 일부구간 계안의 침식이 진행중이고, 전 구간에 걸쳐 다양한 입경의 토석들이 계상에 적치되어 있어 호우 시 하부 피해 우려됨.",2026-04-07
경상북도 포항시 북구 죽장면 석계리 산203-1,토석류,포항시,사유림,905,0,"계류의 종단물매가 매우 급하고, 집수구역이 벌채지이며, 일부구간 계안이 낮아 경작지의 월류피해 이력이 있으며, 계류내 토석류 피해흔적이 관찰되고, 계상에 다량의 돌, 전석 등이 퇴적되어 있음.",2026-04-07
경상북도 포항시 북구 죽장면 합덕리 산173-1,토석류,포항시,사유림,155,2900,"계류 내 소규모 침식이 관찰되고 유수의 흐름을 방해하는 전도목이 존재하며, 전 구간에 걸쳐 유동가능 전석이 관찰되어 호우 시 하부 피해 우려됨.",2026-04-07
경상북도 포항시 북구 죽장면 합덕리 산182,토석류,포항시,사유림,200,3400,"유역면적이 넓고 계류는 황폐화 되어 있으며, 계류 내 유동가능 토석 및 대규모 침식지가 관찰되어 호우 시 하부 피해 우려됨.",2026-04-07
경상북도 포항시 북구 죽장면 석계리 산1-1,토석류,포항시,사유림,229,0,"유역면적이 비교적 크고, 계폭이 넓은 계류로 계안침식지가 일부 관찰되고, 계상에 상당량의 자갈이 퇴적되어 있어 하부로 이동시 피해가 우려됨.",2026-04-07
경상북도 포항시 북구 죽장면 가사리 산32,토석류,포항시,사유림,453,0,"급경사 계곡 내 다수의 침식지가 관찰되고 이로인한 수목의 뿌리노출이 관찰되며, 계상의 돌, 전석 등의 퇴적물도 다수 관찰됨. 계상 및 계안의 암반 풍화가 심한 계류임.",2026-04-07
경상북도 포항시 북구 죽장면 매현리 산130,산사태,포항시,사유림,286,0,"대상지는 주택배후 급경사 사면으로 사면하부에 간이돌메쌓기가 시설되어 있으나, 사면내 표층유실과 풍화암반에서 이완된 암괴 및 뜬돌이 다수 관찰되어 낙석의 가능성이 있을 것으로 판단됨.",2026-04-07
경상북도 포항시 북구 죽장면 가사리 산79,토석류,포항시,사유림,231,731.48,"계류내 토석류 유동흔적이 관찰되며, 수목의 전도가 다수 관찰되며, 계안의 침식으로 인한 전도위험목이 존재하며, 계상에 다량의 돌, 전석 등의 퇴적물이 존재하여 집중호우시 하부의 피해가 우려됨.",2026-04-07
경상북도 포항시 북구 죽장면 가사리 산79,토석류,포항시,사유림,625,0,"조사구간 전구간에 걸쳐 토석류 유동흔적이 관찰되고, 인가 피해 이력이 있으며, 계안의 침식 및 붕괴지가 관찰됨.",2026-04-07
경상북도 포항시 북구 죽장면 가사리 산2-1,토석류,포항시,사유림,2206,40,"본 대상지는 가사리 민가 배후 산지계류로 수충부에 세굴 및 침식 등이 관찰되었고 계상에 다량의 자갈 및 호박돌 등이 퇴적되어 있으며, 퇴적물의 유동 흔적이 관찰됨에 따라 산지재해 발생가능성이 있는 지역으로 지정ㆍ심의 상정 대상지로 선정하였음",2026-04-07
경상북도 포항시 북구 죽장면 상옥리 산215-5,토석류,포항시,사유림,603,0," 계류내 토석류로 인한 계상정리 흔적이 관찰되고, 계안의 붕괴와 침식으로 인한 토사유출이 심각하게 진행중이며, 수목의 전도가 관찰됨.",2026-04-07
경상북도 포항시 북구 죽장면 상옥리 산20,토석류,포항시,사유림,336,0," 계류의 종단물매가 급하고, 토석류 유동흔적이 관찰되며, 침식과 수목의 전도가 관찰되며 계상에 다량의 돌, 전석 등의 퇴적물이 관찰되어 집중호우시 하부의 피해가 우려됨.",2026-04-07
경상북도 포항시 북구 죽장면 상옥리 산20,토석류,포항시,사유림,42,0,"계류의 종단물매가 급하고, 계류내 토석류 유동흔적이 관찰되고, 집중호우로 인한 수차례 침수 피해이력이 있으며, 계안의 붕괴가 관찰되며, 계류내 다량의 돌, 전석 등의 퇴적물이 관찰되어 집중호우시 추가 피해가 우려됨.",2026-04-07
경상북도 포항시 북구 죽장면 상옥리 산117-3,토석류,포항시,사유림,664,0,"계류 내 다수의 침식지와 붕괴지가 관찰되고, 이로 인한 수목의 뿌리노출 및 계상 퇴적이 관찰되며, 침식으로 인한 수목의 뿌리노출이 관찰되며, 계류의 황폐화가 상당히 진행 중임.",2026-04-07
경상북도 포항시 북구 죽장면 하옥리 산7-1,산사태,포항시,사유림,1474,0,"사면내 수직절리가 발달해 있고, 일부 이완암이 관찰되어 낙석이 우려됨.",2026-04-07
경상북도 포항시 북구 죽장면 하옥리 산56-2,토석류,포항시,사유림,780,0,"계류의 유역규모가 매우 크고, 계안에 붕괴지가 관찰되며, 조사구간 전구간에 걸쳐 상당량의 돌, 전석 등의 퇴적물이 관찰되어 집중호우시 하부의 피해가 우려됨.",2026-04-07
경상북도 포항시 북구 신광면 마북리 산90,토석류,포항시,사유림,528,0,"계류의 종단물매가 급하고, 조사구간 전구간에 걸쳐 토석류 유동흔적이 관찰되고, 계상에 돌, 전석 등의 퇴적물이 다수 관찰되고, 계안의 침식으로 인한 수목의 뿌리노출과 수목의 전도가 관찰됨.",2026-04-07
경상북도 포항시 북구 신광면 마북리 666,토석류,포항시,사유림,229,0,"조사구간 전 구간에 걸쳐 계상 퇴적지가 관찰되고 부분적 토사유출과 바닥세굴, 침식 등이 관찰됨.",2026-04-07
경상북도 포항시 북구 청하면 명안리 613-38,토석류,포항시,사유림,808,0,"계류내 곡선부와 다수의 구간에 침식으로 인한 토사유출이 관찰되고, 계상에 자갈, 돌 등의 퇴적물이 관찰되어 집중호우시 하부의 피해가 우려됨.",2026-04-07
경상북도 포항시 북구 청하면 청계리 산17,토석류,포항시,사유림,533,2912.95," 조사구간 일부구간에 토석류 유동흔적이 관찰되고, 유출구 배수관 주변에 낙엽 등 유송잡물이 퇴적되어 있고, 계안의 침식으로 인한 토사유출이 심각하게 진행중이며, 일부구간 계상에 돌, 전석 등의 퇴적물이 관찰되어 집중호우시 하부의 피해가 우려됨.",2026-04-07
경상북도 포항시 북구 청하면 청계리 산17,토석류,포항시,사유림,818,2776.95,"조사구간 전구간에 걸쳐 토석류 유동흔적이 관찰되고, 다수의 구간 계안에 침식이 관찰되고, 계상에 다량의 돌, 전석 등의 퇴적물이 관찰되어 집중호우시 하부의 피해가 우려됨.",2026-04-07
경상북도 포항시 북구 송라면 중산리 산1-10,토석류,포항시,사유림,376,0,"계류의 종단물매가 매우 급하고, 일부구간 계안이 낮아 월류흔적이 관찰되고, 배수구관이 토사, 돌 등의 퇴적물로 반정도 막혀있으며, 계상에 돌, 전석 등의 퇴적물이 다수 존재하여 ,집중호우시 하부의 피해가 우려됨.",2026-04-07
경상북도 포항시 북구 송라면 중산리 산1-10,토석류,포항시,사유림,729,0,"계류의 토심이 깊고, 계류내 다수의 구간 계안에서 침식과 붕괴로 인한 토사유출이 상당히 진행중이고, 조사구간 전구간에 걸쳐 계상에 돌, 전석 등의 퇴적물이 존재하여 집중호우시 하부의 피해가 우려됨.",2026-04-07
경상북도 포항시 북구 송라면 중산리 산14,토석류,포항시,사유림,667,0,"조사구간 상부구간에 과거시설된 기슭막이가 상당수 붕괴되거나 파손되어 있고, 계류내 토석류 유동흔적이 관찰되며, 다수의 구간 계안 침식으로 인한 토사유출이 상당히 발생하여 계류의 황폐화가 심각히 진행중임.",2026-04-07
경상북도 포항시 북구 죽장면 두마리 산76,토석류,포항시,사유림,2853,0,계류의 폭이 하부로 갈수록 좁아지고 있으며 전체적으로 폭이 좁지만 토심이 깊고 상부 침식 및 붕괴가 일어날 가능성이 있어 산사태 발생 우려지역으로의 설정하여 계류의 안정화가 필요한 지역이라고 생각됨.,2026-04-07
경상북도 포항시 북구 죽장면 두마리 산86,토석류,포항시,사유림,1000,0,산사태취약지역,2026-04-07
경상북도 포항시 북구 죽장면 두마리 1301,토석류,포항시,사유림,8065,0,산사태취약지역,2026-04-07
경상북도 포항시 북구 죽장면 두마리 1301,토석류,포항시,사유림,7322,0,토석류 피해 우려,2026-04-07
경상북도 포항시 북구 죽장면 현내리 산25,산사태,포항시,사유림,4214,1200,사면과 인가가 인접하며 표층유실이 지속적으로 발생되어 집중호우 시 하부 인가에 피해가 우려됨,2026-04-07
경상북도 포항시 북구 죽장면 지동리 산39-1,산사태,포항시,사유림,1000,5664.04,산사태취약지역,2026-04-07
경상북도 포항시 북구 죽장면 일광리 산17,토석류,포항시,사유림,2174,0,주로 우안 사면의 경사가 급하며 계안붕괴 및 침식이 발달한 불안정한 지역으로 하부 인가로의 인명 및 재산의 피해 발생이 우려됨.,2026-04-07
경상북도 포항시 북구 죽장면 현내리 산67,토석류,포항시,사유림,712,400,유역면적 위에 인가가 위치하며 강우 시 토사가 인가로 유입되고 있음,2026-04-07
경상북도 포항시 북구 죽장면 일광리 산50,산사태,포항시,사유림,1737,0,경사 급한 사면에서의 호박돌 및 뜬돌이 하부 계류로 유입되고 있고 일부 구간 표층유실 및 침식의 의한 토사의 이동이 관찰되어 하부인가에 피해를 발생할 여지가 있음,2026-04-07
경상북도 포항시 북구 죽장면 지동리 산62,토석류,포항시,사유림,4151,6221.57,집중호우 시 계류수와 함께 토석이동이 빈번하게 발생되는 유역으로 인명 및 재산보호를 목적으로 취약지역으로 지정하여 사방시설물을 설치하는 것이 적절할 것으로 사료됨.,2026-04-07
경상북도 포항시 북구 죽장면 지동리 산4-1,토석류,포항시,사유림,1248,5642.18,"계류로서 양측에 계류방향으로 전도된 수목 및 유목이 다수 분포하고 있으며 최단부 주변의 암반사면이 붕괴되어 다량의 낙석이 발생함. 이로 인해 계류 내 다량의 토석이 퇴적되어 있으므로 하류 생활권의 인적, 물적 피해를 예방하기 위하여 퇴적물 유동을 억제할 수 있는 사방댐이 필요할 것으로 판단됨.",2026-04-07
경상북도 포항시 북구 죽장면 정자리 689,토석류,포항시,사유림,9347,0,토석류 피해 우려지역,2026-04-07
경상북도 포항시 북구 기계면 남계리 산15-1,산사태,포항시,사유림,1319,0,사면 내 표층 유실 부와 침식부가 인가로 유입되고 있고 있고 사면에 불안정한 암반의 절 리에 의한 하부 인가에 직접적 피해의 가능성이 존재함,2026-04-07
경상북도 포항시 북구 죽장면 감곡리 산68,토석류,포항시,사유림,3174,1080.73,"곡류가 발달한 구간 하부에 민가가 위치해 있으며 배수 암거를 통해 하천에 합류함. 계상에 퇴적되어 있는 유송잡물이 강우 시 유동하면 하류 생활권에 인적, 물적 피해가 예상되므로 계류보전 사업이 필요할 것으로 판단됨.",2026-04-07
경상북도 포항시 북구 죽장면 매현리 산93,토석류,포항시,사유림,887,0,"토심이 비교적 깊고 전단력이 약해 침식·세굴이 쉽게 발생하고, 이로 인해 다량의 토석이 유출되고 있음. 그러므로 골막이 등의 계류보전 사업을 실시하여 하부 인가와 경작지의 피해를 사전에 예방할 필요가 있음.",2026-04-07
경상북도 포항시 북구 기계면 가안리 1136-1,토석류,포항시,사유림,195,0,암사면 크랙이 관찰되고 토사유실 및 월류 이력이 있어 강우시 주민의 불안호소.,2026-04-07
경상북도 포항시 북구 죽장면 침곡리 산77,토석류,포항시,사유림,2854,0,침식으로 인하여 퇴적물이 지속적으로 유입되고 있으며 계류 내 유목 등 퇴적물 등의 유송잡물이 적치되어 있는 등 위험요소가 있어 산사태 발생 우려지역으로 지정하여 관리가 필요할 것으로 생각됨.,2026-04-07
경상북도 포항시 북구 기계면 가안리 1136-1,토석류,포항시,사유림,741,0,"사면 붕락지에 뿌리노출과 풍화로 발생된 암편이 관찰되며, 콘크리트 수로 내 퇴적물 유동에 의한 훼손과 퇴적물 등이 적치되어 있음. 강우 시 하부로 퇴적물이 유하 되면 시설물 및 축사에 피해가 예상되어 사방시설물 설치가 필요할 것으로 사료됨",2026-04-07
경상북도 포항시 북구 죽장면 침곡리 산87,토석류,포항시,사유림,1250,0,본 계류는 지속적인 풍화로 인해 계류 황폐화가 유역 전반에 걸쳐 진행된 상태이며 유역 영향권 내 인가가 존재하나 그에 따른 사방시설물이 없어 강우 시 발생가능성이 높은 산사태 및 토석류에 무방비로 노출되어 발생 시 인명 및 재산피해가 클 것으로 예상되어 산사태 발생 우려지역으로의 선정 및 관리가 필요하다고 생각됨,2026-04-07
경상북도 포항시 북구 기계면 가안리 산2,토석류,포항시,사유림,1878,0,"대상지는 침식 및 세굴이 발달한 계류로, 침식 발달 구간에 퇴적분포비율이 높고 붕락지의 토사유실, 뿌리노출 등이 관찰되므로 강우 시 퇴적물이 유하되면 하부에 재산피해가 예상되어 사방시설물 설치가 필요할 것으로 사료됨.",2026-04-07
경상북도 포항시 북구 죽장면 매현리 산38,토석류,포항시,사유림,1249,0,유역 내 임도가 위치하며 조사시작점에 인가가 존재함. 강우 시 유량 및 유속이 급증하여 계상에 퇴적된 유송잡물이 하류 방향으로 유하되면 인적·물적 피해가 예상되므로 사방댐을 통한 하부 유하 억제를 제안함.,2026-04-07
경상북도 포항시 북구 기계면 구지리 산5,토석류,포항시,사유림,4639,526.5,"침식에 의한 농지유실과 상부 작업로 사면의 붕괴, 월류로 인한 비닐하우스의 파손 등이 확인됨. 추가적인 피해를 막기 위해 취약지역으로 제안함.",2026-04-07
경상북도 포항시 북구 기북면 관천리 587-1,토석류,포항시,사유림,230,1804.15,침식 및 수목전도가 관찰되고 토석류흔적 있음. 토사유실 월류이력이 있으며 집중호우시 하부 인가가 피해가 우려됨. ,2026-04-07
경상북도 포항시 북구 기북면 관천리 산21,산사태,포항시,사유림,587,1190.83,"해당 지역은 인가 배후 산지사면으로 집중호우로 인한 직,간접적인 피해가 발생한 지역이며, 강우에 의해 발생한 유거수로 인해 토양의 인장강도가 낮아진 상태임. 또한, 지표수에 의한 침식과 침투수에 의한 외적하중이 증가하여 침식된 사면이 불규칙한 형태로 변모됨에 따라 강우 시 피해가 우려되는 지역으로 산사태취약지역 지정ㆍ심의 상정 대상지로 선정하였음",2026-04-07
경상북도 포항시 북구 기북면 대곡리 1497-1,토석류,포항시,사유림,3174,2309.47,"소나무 재선충 방재사업을 실시한 계류로서 사면부 벌채목이 다수 적치된 상태임. 사면부 수목전도 현상 및 세굴, 침식 등이 관찰되므로 취약지역으로의 선정을 제안함",2026-04-07
경상북도 포항시 북구 기북면 율산리 산101,토석류,포항시,사유림,497,1276.62,계류 경사는 비교적 완만한 편이나 양안의 수목이 계류방향으로 다수 전도되어 있음. 또한 토심이 깊고 응집력이 약해 대규모 계안 붕괴가 발생하는 등 위험요소가 산재해 있음. 그러므로 토사 유출을 방지하고 하류 생활권의 보호를 위해 계류보전이 필요할 것으로 판단됨.,2026-04-07
경상북도 포항시 북구 기북면 대곡리 1569-8,토석류,포항시,사유림,2176,1611.96,침식 및 계상퇴적지가 관찰됨. 다수의 퇴적물이 강우 시 하부로 유하될 경우 인명 및 재산피해가 예상되므로 취약지역으로의 선정을 제안함,2026-04-07
경상북도 포항시 북구 기북면 율산리 산93-1,토석류,포항시,사유림,2287,1836.89,"계류 주변부의 사면등이 세굴, 침식된 상태로 토사가 지속적으로 유실되고 있는 상태이며, 붕괴지가 다수 존재하고 있어 장기적으로 볼 때 퇴적물들이 지속적으로 공급되어 토석류가 발생할 수 있다고 판단되어 산사태 발생 우려지역으로 선정해야 한다고 판단됨",2026-04-07
경상북도 포항시 북구 기북면 대곡리 1569-9,토석류,포항시,사유림,189,2263.13,계류 내 다수의 구간에서 침식 및 퇴적이 관찰되고 부분적 토석류 흔적 관찰.,2026-04-07
경상북도 포항시 북구 기북면 오덕리 산72-3,토석류,포항시,사유림,3250,0,"암반 사면의 붕괴로 인해 계류 내 낙석, 퇴적물이 관찰되며 최단부에 토석이 다량 퇴적되어 있음. 강우 시 퇴적물이 하류 방향으로 유하되면 하부 생활권에 인적, 물적 피해가 우려 되므로 계류의 정비가 필요한 지역임.",2026-04-07
경상북도 포항시 북구 기계면 지가리 산51-1,토석류,포항시,사유림,3419,2314.22,전반적으로 지반이 취약하여 토석류 및 붕괴가 발생한 흔적이 관찰됨. 양안에서 토사의 유출량이 많고 이로 인해 수목이 전도되는 현상이 나타남. 강우 시 위험요소의 확대가 우려되므로 취약지역으로 지정할 필요성이 있음.,2026-04-07
경상북도 포항시 북구 기북면 율산리 1185,산사태,포항시,사유림,1250,2568.77,토석류 피해 우려,2026-04-07
