연번,시도,시군구,읍면동,리,지번,(위도)도,(위도)분,(위도)초,(경도)도,(경도)분,(경도)초,취약지역유형,지정면적(제곱미터),데이터기준일자
2629,경상북도,영주시,순흥면,배점리,산69,35,55,29,128,33,30.1,토석류,5000,2026-06-04
2630,경상북도,영주시,풍기읍,수철리,산78-3,36,53,48.789,128,27,34.199,토석류,1951,2026-06-04
2631,경상북도,영주시,풍기읍,창락리,산56,36,53,6.399,128,28,6.600,토석류,73131.61,2026-06-04
2632,경상북도,영주시,풍기읍,수철리,산86-1임,36,54,36.599,128,28,11.700,토석류,0,2026-06-04
2633,경상북도,영주시,풍기읍,전구리,산15번지,36,52,16.946,128,28,23.058,토석류,8000,2026-06-04
2634,경상북도,영주시,봉현면,두산리,1004전,36,51,44.199,128,28,28.400,토석류,1977.6,2026-06-04
2635,경상북도,영주시,풍기읍,전구리,산1-5,36,52,59.099,128,28,33.241,토석류,17372.09,2026-06-04
2636,경상북도,영주시,봉현면,두산리,산93구,36,51,23.265,128,28,32.934,토석류,0,2026-06-04
2637,경상북도,영주시,봉현면,노좌리,산30임,36,47,54.399,128,28,48.100,토석류,0,2026-06-04
2638,경상북도,영주시,봉현면,노좌리,산30임,36,47,57.999,128,28,49.500,토석류,0,2026-06-04
2639,경상북도,영주시,봉현면,두산리,829임,36,50,53.924,128,28,55.543,토석류,149,2026-06-04
2640,경상북도,영주시,봉현면,두산리,산96번지,36,51,43.699,128,28,56.195,토석류,14000,2026-06-04
2641,경상북도,영주시,봉현면,노좌리,산24,36,48,16.364,128,28,55.102,토석류,811,2026-06-04
2642,경상북도,영주시,봉현면,노좌리,산30,36,47,58.119,128,28,55.071,토석류,1158,2026-06-04
2643,경상북도,영주시,봉현면,노좌리,산16-2임,36,48,50.504,128,28,59.934,토석류,0,2026-06-04
2644,경상북도,영주시,봉현면,두산리,717-6 과,36,51,45.599,128,29,4.200,토석류,5289.28,2026-06-04
2645,경상북도,영주시,봉현면,노좌리,산16-2,36,48,42.900,128,29,4.028,토석류,4000,2026-06-04
2646,경상북도,영주시,봉현면,노좌리,산15임,36,48,33.799,128,29,8.000,토석류,0,2026-06-04
2647,경상북도,영주시,봉현면,노좌리,산30,36,48,41.3,128,29,12.2,토석류,8000,2026-06-04
2648,경상북도,영주시,풍기읍,삼가리,산22-1임,36,55,30.099,128,29,30.300,토석류,1727.03,2026-06-04
2649,경상북도,영주시,풍기읍,백신리,281구,36,53,42.299,128,29,30.900,토석류,2058.4,2026-06-04
2650,경상북도,영주시,봉현면,하촌리,산65-1임,36,46,59.994,128,29,25.913,토석류,658,2026-06-04
2651,경상북도,영주시,봉현면,유전리,산52,36,48,25.0,128,29,45.2,산사태,3500,2026-06-04
2652,경상북도,영주시,봉현면,두산리,산10임,36,51,27.246,128,29,47.924,토석류,0,2026-06-04
2653,경상북도,영주시,봉현면,유전리,산69임,36,48,41.358,128,29,47.090,토석류,0,2026-06-04
2654,경상북도,영주시,봉현면,대촌리,산23-3임,36,50,7.842,128,29,48.328,토석류,0,2026-06-04
2655,경상북도,영주시,봉현면,대촌리,산23-1임,36,50,11.459,128,29,49.904,토석류,0,2026-06-04
2656,경상북도,영주시,봉현면,대촌리,산23-1,36,50,16.629,128,30,2.258,토석류,12000,2026-06-04
2657,경상북도,영주시,풍기읍,삼가리,산19,36,56,35.765,128,30,14.316,산사태,25447.44,2026-06-04
2658,경상북도,영주시,봉현면,하촌리,산23임,36,46,27.299,128,30,6.800,토석류,0,2026-06-04
2659,경상북도,영주시,봉현면,하촌리,산5-9임,36,46,57.276,128,30,11.035,토석류,373,2026-06-04
2660,경상북도,영주시,봉현면,노좌리,산8-2임,36,47,34.899,128,30,13.000,토석류,0,2026-06-04
2661,경상북도,영주시,봉현면,하촌리,산43임,36,46,1.799,128,30,14.600,토석류,0,2026-06-04
2662,경상북도,영주시,봉현면,대촌리,산78번지,36,50,30.688,128,30,21.545,토석류,5000,2026-06-04
2663,경상북도,영주시,봉현면,하촌리,산6-15 임,36,46,53.899,128,30,19.500,토석류,0,2026-06-04
2664,경상북도,영주시,봉현면,노좌리,산1-3임,36,47,25.797,128,30,20.175,토석류,0,2026-06-04
2665,경상북도,영주시,풍기읍,삼가리,287전,36,55,27.099,128,30,30.800,산사태,500,2026-06-04
2666,경상북도,영주시,풍기읍,금계리,791임,36,53,53.399,128,30,30.700,토석류,1853.8,2026-06-04
2667,경상북도,영주시,풍기읍,금계리,산39,36,53,53.370,128,30,31.420,토석류,5281,2026-06-04
2668,경상북도,영주시,봉현면,유전리,86-3 임,36,47,49.999,128,30,29.300,토석류,0,2026-06-04
2669,경상북도,영주시,봉현면,한천리,347구,36,49,27.038,128,30,31.265,토석류,5733.95,2026-06-04
2670,경상북도,영주시,봉현면,오현리,산50-1,36,51,5.296,128,30,32.698,토석류,7000,2026-06-04
2671,경상북도,영주시,풍기읍,삼가리,184-2전,36,55,14.099,128,30,43.000,산사태,220,2026-06-04
2672,경상북도,영주시,풍기읍,금계리,산34-1임,36,53,46.729,128,30,45.306,토석류,2007.2,2026-06-04
2673,경상북도,영주시,봉현면,유전리,산17,36,48,40.601,128,30,41.309,토석류,3000,2026-06-04
2674,경상북도,영주시,봉현면,한천리,450구,36,49,54.999,128,30,46.000,토석류,249,2026-06-04
2675,경상북도,영주시,봉현면,대촌리,산47-1임,36,50,37.299,128,30,51.200,토석류,0,2026-06-04
2676,경상북도,영주시,봉현면,유전리,15임,36,48,19.399,128,30,51.000,토석류,0,2026-06-04
2677,경상북도,영주시,풍기읍,삼가리,산1-1,36,54,34.354,128,30,56.437,산사태,4234,2026-06-04
2678,경상북도,영주시,봉현면,유전리,산37-2임,36,48,5.799,128,30,55.000,토석류,0,2026-06-04
2679,경상북도,영주시,풍기읍,삼가리,산1-2,36,54,34.583,128,31,2.834,토석류,3962,2026-06-04
2680,경상북도,영주시,장수면,성곡리,산73-1,36,47,13.135,128,31,1.592,토석류,2006,2026-06-04
2681,경상북도,영주시,안정면,여륵리,산35-7,36,47,39.384,128,31,5.041,산사태,3575,2026-06-04
2682,경상북도,영주시,안정면,여륵리,산35-3,36,47,37.096,128,31,5.408,산사태,1557,2026-06-04
2683,경상북도,영주시,안정면,여륵리,산35-1,36,47,46.962,128,31,8.559,토석류,1796,2026-06-04
2684,경상북도,영주시,안정면,여륵리,산38-10번지,36,47,54.303,128,31,8.964,토석류,2400,2026-06-04
2685,경상북도,영주시,장수면,성곡리,산46임,36,46,36.753,128,31,13.776,토석류,907.2,2026-06-04
2686,경상북도,영주시,풍기읍,욱금리,287임,36,54,33.192,128,31,21.390,토석류,128054.46,2026-06-04
2687,경상북도,영주시,장수면,성곡리,산 58 임,36,46,42.899,128,31,16.600,토석류,678.72,2026-06-04
2688,경상북도,영주시,풍기읍,욱금리,산3,36,54,35.733,128,31,23.314,토석류,1764,2026-06-04
2689,경상북도,영주시,장수면,성곡리,산53임,36,46,57.399,128,31,18.100,토석류,1029,2026-06-04
